nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
Seng-bu̍t ê sî-kan ū kái-phò͘ thò͘-á.,,在生物課裏我們解剖了兔子,"During the biology period, we dissected a rabbit."
kái-hòng,kái-hòng,解放,release | liberation | emancipation
Kiōng-sán-tóng m̄-khéng kái-hòng (or sek-hòng) sîn-hū.,,共產黨不肯釋放神父,The Communists will not release the priests.
kái-hòng lô͘-lē,kái-hòng lôo-lē,解放奴隸,to liberate slavers.
kái-kò͘ | kái-chit | thâi-thâu,kái-kòo | kái-tsit | thâi-thâu,解僱 | 解職,dismissal | to fire
"Lí nā m̄ jīn-chin chò, boeh kā lí kái-kò͘.",,你若不認真做，我要解僱你,"If you are not more conscientious, I will fire you."
kái-sàn,kái-sàn,解散,dispersion | to disband | to break up
"La̍k tiám chi̍p-ha̍p, peh tiám kái-sàn.",,六點鐘集合，八點鐘解散,"We shall gather at six, and disperse (adjourn) at eight."
kái-iok,kái-iok,解約,dissolution | of a contract | to cancel a contract
"Lí nā m̄ chiàu khè-iok chò, boeh kā lí kái-iok.",,你若不按照契約做，我要給你解約,"If you do not do things according to the contract, I will cancel the contract."
kái-tî,kái-tî,解除,"cancellation (contract, armament, alarm)"
Kái-tî kài-giâm-lēng.,,解除戒嚴令,To withdraw martial law.
Kái-tî khong-si̍p kèng-pò.,,解除空襲警報,All clear signal. (After an air raid alarm).
kái-giâm-lēng,kái-giâm-līng,戒嚴令,martial law
kak,kak,角,a dime
chi̍t kak-gîn,tsi̍t kak-gîn,一角,a dime
kak-thn̂g,kak-thn̂g,角糖 | 方塊糖,a lump (cube) of sugar
kak,kak,角,a horn | an antler | a corner
gû-kak,gû-kak,牛角,cow's horns
kak-gō͘,kak-gōo,覺悟 | 預期,to expect | to be prepared (for anything) expectation | determination
"Góa chò chit hāng pháiⁿ tāi-chì, kak-gō͘ ē hō͘ goán lāu-pē mē.",,我做這件壞事，覺悟會給我的父親責罵,"I have done this evil thing, I am ready to be scolded by my father."
"Hō͘ lo̍h chiah kú, chò-sit-lâng ài kak-gō͘ pháiⁿ siu-sêng.",,雨下了這麽久，農人應覺悟這次不能豐收,"I has rained for such a long time, that the farmers are expecting to reap a poor harvest."
"Boeh chò seng-lí, ài kak-gō͘ ū sî-á ē thàn, ū sî-á ē liáu.",,要做生意必須覺悟有時候會賺錢，有時候却虧本,"If one wants to go into business, he must be prepared to make money sometimes, and to lose money sometimes."
kak-chhíⁿ,kak-tshínn,覺醒,awakening | disillusion (N.V.)
Ǹg-bāng lín kóaⁿ-kín kak-chhíⁿ.,,希望你們趕快覺醒,I hope that you will quickly be freed from your false impression. (being to realize the real state of affairs).
kám,kám,豈,is it possible that?
kam-chià,kam-tsià,甘蔗,sugar cane
kam-má,kam-má,柑子,tangerine
kám-hòa,kám-huà,感化,to influence for good | to transform
"Kap hó lâng chò-hóe, ē hō͘ in kám-hòa chò hó, kap pháiⁿ lâng chò-hóe, ē hō͘ in jiám-tio̍h chò pháiⁿ.",,和好人爲伴（在一起）會給他們感化而做好事，和壞人在一起會被他們染着做壞,"Be a companion of good people and you will be influenced by them to do good, be a companion of bad people and you will be influences by them to do evil."
hō͘ lâng kám-hòa | siū lâng kám-hòa,hōo lâng kám-huà | siū lâng kám-huà,受人感化,be influenced
kám-kak,kám-kak,感覺,to feel | sensation
"Chím-má teh tē-tāng, lí ū kám-kak--bô?",,現在在地震，你有感覺到嗎？,"There is an earth quake, do you feel it?"
kám-sim,kám-sim,讚嘆 | 感嘆,to admire
"Sîn-hū, lí chin kám-sim. Sîn-hū, góa chin kám-sim--lí.",,神父，我很佩服你,"Father, you are wonderful."
chin kám-sim,tsin kám-sim,值得稱讚,admirable | wonderful
kám-siā,kám-siā,感謝,gratitude | be grateful
In hiaⁿ-tī ê kám-chêng chin hó!,,他們兄弟感情很好,Those brothers are on very good terms!
kám-chêng,kám-tsîng,感情,one's feeling | emotion
kám-mō͘,kám-mōo,感冒 | 傷風,a clod | the flu
"Nn̄g saⁿ ji̍t chêng tio̍h-tio̍h kám-mō͘ (or kôaⁿ--tio̍h), chím-má iáu ē cha̍t-phīⁿ.",,兩三天前傷了風，到現在鼻子還塞着,"Two or three days ago, I caught a cold, my nose is still stuffed."
kám-tōng,kám-tōng,感動,to be affected by | impression | impressive | to be touched | to be moved
Thiaⁿ-chiòng tāi-ke chin kám-tōng.,,聽衆們非常感動,The audience was very much moved (stirred).
"Nā bē tàng kám-tōng thiaⁿ-chiòng, kóng khah kú iā bô lō͘-ēng.",,如果不能感動聽衆，講多久也沒用,"If you don’t move your audience, no matter how long you talk it is useless."
kám-sióng,kám-sióng,感想,thoughts | impressions
Lí tùi chit pún chheh ū sím-mih kám-sióng?,,你對這本書有什麽感想？,What is your impression of this book?
kám-ho̍k,kám-ho̍k,佩服,admire | be struck with admiration
"Lí chìn-pō͘ chiah kín, góa chin kám-ho̍k--lí.",,你進歩這麽快，我很佩服你,"You are making such great progress, I admire you very much."
kám-tiān,kám-tiān,感電 | 觸電,an electric shock | receive an electric shock
kam-chhó,kam-tshó,甘草,licorice
kàm-tok,kàm-tok,監督,supervision | an overseer | a foreman
"Lín kiáⁿ ài poa̍h-kiáu, lí tio̍h kā i kàm-tok.",,你的孩子喜歡賭博，你得監督他,"Your child is fond of gambling, you should take him in hand."
kàm-tēng,kàm-tīng,鑑定,judgment | discernment | estimate (N.V.)
"Sī chin--ê á sī ké--ê, chha-put-to ta̍t lōa chē, chhiáⁿ lí kā góa kàm-tēng.",,是真的還是假的，差不多值多少，請你給我鑑定一下,Will you please judge whether it is real or false and about how much it is worth?
kan-taⁿ－niā-tiāⁿ,kan-tann－niā-tiānn,只有,only
Góa kan-taⁿ ū chi̍t ê kiáⁿ niā-tiāⁿ.,,我只有一個兒子（而已）,"I have only one son, and that’s all."
kan-khó͘,kan-khóo,艱苦 | 辛苦,misery | difficult | to be sick
kán-tan,kán-tan,簡單,simple
"Kóng siuⁿ kú bô lâng ài thiaⁿ, chhiáⁿ lí kóng khah kán-tan--lè!",,講得太久，沒人愛聽，請你講得更簡單一點,"If one talks too long, no one wants to listen. Please speak more simply. (less at length)"
kàn-pō͘,kàn-pōo,幹部,the leaders | the directorate | staff
I sī chit keng kong-si ê kàn-pō͘.,,他是這個公司的幹部,He is one of the staff of this company.
kan-chiap,kan-tsiap,間接的 | 間接地,indirect | indirectly
"Chhiáⁿ lí ti̍t-chiap kā i kóng, kan-chiap kā i kóng kiann-íⁿ ē sī chhut gō͘-hōe.",,請你直接向他講，間接向他講恐怕會生誤會,"Please speak to him directly, if you speak to him indirectly, there might be a misunderstanding."
kan-tia̍p,kan-tia̍p,間諜,a spy | an emissary
kan-siong,kan-siong,奸商,a dishonest merchant
kàn,kàn,姦,to commit fornicatioln | adultery etc.
kàn lín niû-lé,kàn lín niû-lé,,The most common cuss-word. To fornicate with your mother.
kàn lín lāu-bú,kàn lín lāu-bú,,The most common cuss-word. To fornicate with your mother.
kang | khang-khòe,kang | khang-khuè,工,work
chò-kang,tsò-kang,做工,to work
kang-lâng,kang-lâng,工人,a workman
kang-chîⁿ,kang-tsînn,工錢,cost of labor
kang,kang,公的 | 公雄,male of animals
Chit chiah ti sī kang--ê á-sī bó--ê?,,這隻猪是雄的還是雌的？,Is this pig a male or female?
kāng-khoán | kāng,kāng-khuán | kāng,一樣 | 同樣 | 相同,the same
kāng im bô kāng jī,kāng im bô kāng jī,同音不同字,the same sound but not the same character
bô kāng-khoán,bô kāng-khuán,不一樣 | 不同,not the same
sio kâng,sio kâng,相同 | 一樣,the same
kāng-sî,kāng-sî,同時,at the same time
kāng-sìⁿ,kāng-sìnn,同姓,of the same clan name
kāng-só͘-chāi,kāng-sóo-tsāi,同一處,the same place
kāng lâng,kāng lâng,同一個人,the same person
kàng-hok,kàng-hok,降福,to bless
sèng-thé-kàng-hok,sìng-thé-kàng-hok,聖體降福,Benediction
kàng-seng,kàng-sing,降生,to come down and be born | the Incarnation
kang-tiûⁿ | kang-chhiúⁿ,kang-tiûnn | kang-tshiúnn,工廠,a factory
kang-chok-hoat,kang-tsok-huat,工作法,manual training
kang-gia̍p,kang-gia̍p,工業,industry
káng-kái,káng-kái,講解,to explain something rather deep
káng-ián,káng-ián,講演,to lecture | a lecture
káng,káng,港,a harbor
hiong-káng,hiong-káng,香港,Hong Kong
lo̍k-káng,lo̍k-káng,鹿港,Lukang
káng-hô,káng-hô,講和,(Lit. to talk peace) reconciliation | peace
káng-hô hōe-gī | hô-pêng hoe-gī,káng-hô huē-gī | hô-pîng hue-gī,和平會議,a peace conference
kang-thêng | kang-sū,kang-thîng | kang-sū,工程,works | construction
Sin sèng-tn̂g ê kang-sū lóng Ngá siu-sū ka-tī teh kàm-tok.,,新聖堂的工程全由雅修士自己監督,The construction of the new chapel is all supervised by Brother Albert.
kang-thêng-su | ki-su,kang-thîng-su | ki-su,工程師 | 工技師,an engineer
kàu-iú,kàu-iú,教友,a Christian | Catholic
kāu,kāu,厚 | 濃,thick | strong (of liquids)
Bān gû kāu sái-jiō.,,慢牛多屎尿,Putterer! Stop his work on the least pretext. (Lit. A slow cow frequently relieving nature.)
kàu,kàu,到,to arrive | up to
Chit pang hóe-chhia kúi-tiám ē kàu Tâi-pak?,,這班火車幾點鐘能到台北？,At what time will this train arrive in Taipei?
kàu-ūi,kàu-uī,到達,to arrive at a destination
kàu-ông,kàu-ông,教王,the Pope
kàu-chong,kàu-tsong,教宗,the Pope
kàu-hông,kàu-hông,教皇,the Pope
káu,káu,狗 | 犬,a dog
kau-á,kau-á,小溝,drains | gutters
kau,kau,溝,a stream of water
Chit tiâu kau lí thiàu ē kòe--bē?,,這條溝你跳得過去嗎？,Can you jump across this stream?
kàu-lō͘-bóe,kàu-lōo-bué,最後 | 後來,in the end | finally
kàu-hùn,kàu-hùn,教訓,instruction
"Sîn-hū ê kàu-hùn, lí m̄-thang bē kì--tit.",,神父的教訓，你不可忘記,Don’t you forget Father’s instruction (admonition).
kàu-oân,kàu-uân,教員,a teacher
kàu-siū,kàu-siū,教授,a professor
kàu-io̍k,kàu-io̍k,教育,education
kau-pôe,kau-puê,交誼 | 交際,to associate with
Lí kap i kau-pôe ū lōa kú--à?,,你和他交際多久了？,How long have you been associating with him?
kau-thong,kau-thong,交通,communications
Tâi-oân kīn-lâi ê kau-thong chin lī-piān.,,台灣近來交通很方便,Recently communications in Formosa have been very convenient.
kàu,kàu,夠,enough
Án-ni ū kàu--bô?,,這樣夠嗎？,Is that enough?
iâ-so͘-kàu,iâ-soo-kàu,耶穌教,Protestantism
sin-kàu,sin-kàu,新教,Protestantism
ki-tok-kàu,ki-tok-kàu,基督教,Protestantism
kau,kau,交,to hand over | deliver
Hiah ê chîⁿ lí kau hō͘ sím-mih lâng?,,那些錢你繳給誰？,To whom did you hand that money over to?
kau-koan,kau-kuan,交易,to trade with | to buy from (someone)
"Hit ê lâng bô láu-si̍t, m̄-thang kap i kau-koan.",,那個人不老實，不可和他交易,"That fellow is not honest, don’t trade with him."
kàu-sek,kàu-sik,教室,classroom
kàu,kàu,教,doctrine | instruction | a religious or philosophical sect
thian-chú-kàu,thian-tsú-kàu,天主教,The Catholic religion
thian-chú-kong-kàu-hōe,thian-tsú-kong-kàu-huē,天主公教會,The (Universal) Catholic Church
kàu-hōe,kàu-huē,教會,The Church | a term used by those outside the Church
sèng-kàu-hōe,sìng-kàu-huē,聖教會,The Holy Church | term used by Catholics.
kàu-khu,kàu-khu,教區,a diocese | an ecclesiastical district
tâi-pak kàu-khu,tâi-pak kàu-khu,台北教區,Archdiocese of Taipei
ka-gī kàu-khu,ka-gī kàu-khu,嘉義教區,Chiayi Prefecture
hoa-liân kàu-khu,hua-liân kàu-khu,花蓮教區,Hualien Prefecture
ko-hiông kàu-khu,ko-hiông kàu-khu,高雄教區,Kaohsiung Prefecture
tâi-tiong kàu-khu,tâi-tiong kàu-khu,台中教區,Taichung Prefecture
kau-tài | hoan-hù,kau-tài | huan-hù,交代,to leave word | give message | to ask to do | to order | to instruct
Sîn-hū kau-tài góa eng-àm tio̍h hiâⁿ sio-chúi.,,神父交代我晚上要燒水,Father instructed me to make hot water tonight.
kau-sia̍p,kau-sia̍p,交涉,negotiations | to negotiate | to have a consultation with
Lán lâi khì kap hāu-tiúⁿ kau-sia̍p bîn-ná-chài mài tha̍k.,,我們去和校長交渉明天不要上課,Let’s go and have a consultation with the principal about not studying tomorrow.
kau-thong sū-kò͘,kau-thong sū-kòo,交通事故,a traffic accident
káu-hiā,káu-hiā,螞蟻,an ant
kàu-taⁿ,kàu-tann,到現在,up to now
káu,káu,狗,a dog
kâu,kâu,猴,a monkey
káu-koài,káu-kuài,狡猾,cunning | foxy
"Hit ê lâng chin káu-koài, lí m̄-thang hō͘ i phiàn--khì.",,那個人很狡猾，你不可以被他騙去,"He is a fox, don’t let him deceive you."
kauh,kauh,輾轢,to run over
Khì-chhia kauh-tio̍h chi̍t ê gín-ná.,,汽車轢過一個孩子,A car ran over a child.
ka̍uh,ka̍uh,鳴不平,to grumble | complain
"Chi̍t sut-lá tāi-chì, lí m̄-thang hiah gâu ka̍uh.",,很少的事情，你不要這樣的鳴不平,"If there is only a trifling matter, don’t be so quick to grumble. (Don’t get angry at a drop of the hat.)"
ke,ke,鷄,a chicken
ke-kang,ke-kang,公鷄,a rooster
ke-nòa,ke-nuà,小雌鷄,a pullet
ke-bú | ke-bó,ke-bú | ke-bó,母鷄,a hen
ke-á-kiáⁿ,ke-á-kiánn,小鷄,baby chicks
ke-nn̄g-ko,ke-nn̄g-ko,鷄蛋羹,sponge cake
ke-nn̄g,ke-nn̄g,鷄蛋,an egg
chian ke-nn̄g,tsian ke-nn̄g,煎鷄蛋,fried eggs
chian nn̄g lia̍p ke-nn̄g,tsian nn̄g lia̍p ke-nn̄g,煎二個鷄蛋,fry two eggs
chian chi̍t bīn ê ke-nn̄g,tsian tsi̍t bīn ê ke-nn̄g,煎一面的鷄蛋,fried eggs | sunny side up
chian nn̄g bīn ê ke-nn̄g,tsian nn̄g bīn ê ke-nn̄g,煎二面的鷄蛋,fried eggs | both sides fried
chhá ke-nn̄g,tshá ke-nn̄g,炒鷄蛋,scrambled eggs
chhá saⁿ lia̍p ke-nn̄g,tshá sann lia̍p ke-nn̄g,炒三個鷄蛋,scramble three eggs
ke-nn̄g pau,ke-nn̄g pau,鷄蛋包,poached eggs
chí nn̄g lia̍p ke-nn̄g pau,tsí nn̄g lia̍p ke-nn̄g pau,煑兩個鷄蛋包,poach two eggs
sa̍h nn̄g lia̍p ke-nn̄g,sa̍h nn̄g lia̍p ke-nn̄g,煑兩個鷄蛋,boil two eggs
sa̍h nn̄g lia̍p pòaⁿ chhiⁿ se̍k ê ke-nn̄g,sa̍h nn̄g lia̍p puànn tshinn si̍k ê ke-nn̄g,煑兩個半熟的鷄蛋,boil two soft boiled eggs (Lit. half undone-done)
ke,ke,加 | 多,to add
Chhiáⁿ lí ke gō͘ kho͘-gîn hō͘--góa.,,請你多給我五塊錢,Please give me $5.00 more.
ke chin hó,ke tsin hó,更好,much better
ke chin kùi,ke tsin kuì,更貴,much more expensive
ke chhēng saⁿ,ke tshīng sann,多穿衣服,to put on more clothes
kè-chîⁿ,kè-tsînn,價錢,the price
kè,kè,嫁,to marry a hushand | to give a daughter in marriage
kè-ang,kè-ang,嫁,to be married to a husband
chhut-kè,tshut-kè,出嫁,to marry a husband
"Lí ê cha-bó͘-kiáⁿ (or chhian-kim) tang-sî boeh kè, boeh kè sím-mih lâng?",,你的女兒什麽時候要出嫁，要嫁誰？,"When will your daughter be married, and whom will she marry?"
kè-chhōa,kè-tshuā,嫁娶,to marry or be married in general | marrage
kè-chng,kè-tsng,嫁妝,(a bride's) dowry | marriage outfit given to a daughter
"Cha-bó͘-kiáⁿ nā boeh kè, tio̍h chún-pī kè-chng.",,女兒要出嫁得凖備嫁粧,"If a daughter gets married, you must prepare a dowry."
ke-hóe,ke-hué,財產,belongings | property
I ê ke-hóe lóng su kiáu su liáu-liáu.,,他的財產都賭光了,He lost every bit of his belongings in gambling.
ke-kiám,ke-kiám,多少 | 盡量,more or less (Lit. to add or diminish) either much or a little
Lí ke-kiám tek-khak ū thau-chia̍h.,,你多少總有偷吃過,"I know that you have stolen something to eat, I don’t know whether it was a lot or a little."
I nā ū êng ê sî ke-kiám khùn.,,他有空時，總是睡覺,"When he is free, he must take some rest (It does not matter whether it is more or less)."
kè-ta̍t,kè-ta̍t,價值 | 值得,worth (N.A.) | value
ū kè-ta̍t,ū kè-ta̍t,有價值,has some worth | value
ū tha̍k ê kè-ta̍t,ū tha̍k ê kè-ta̍t,值得讀,worth reading
ū khòaⁿ ê kè-ta̍t,ū khuànn ê kè-ta̍t,值得看,worth looking at
bô thiaⁿ ê kè-ta̍t,bô thiann ê kè-ta̍t,不值得聽,not worth listening to
ū chi̍t pah kho͘ ê kè-ta̍t,ū tsi̍t pah khoo ê kè-ta̍t,有一百塊的價值,worth a hundred dollars
ké-soeh,ké-sueh,解釋,to explain
ke-kui,ke-kui,嗉囊,chicken's feed bag
pûn ke-kui,pûn ke-kui,自誇,to boast (lit. to blow up the feed bag)
ke-kui-á-sian,ke-kui-á-sian,吹牛的人,a blow-hard | a pretentious person
ke-kui-á,ke-kui-á,氣球,a balloon
ke-á,ke-á,街上,street
ke-á-lō͘,ke-á-lōo,街上,downtown
chhut khì ke-á-lō͘,tshut khì ke-á-lōo,出去街上,to go downtown
ke-si,ke-si,器具,tools
ke-khì | ki-khì,ke-khì | ki-khì,機器,machinery
siu-lí ke-khì ê sai-hū,siu-lí ke-khì ê sai-hū,修理機器的工人,a mechanic
ké,ké,假的 | 假裝,false | to pretend
Lí bē hiáu m̄-thang boeh ké gâu!,,你不會的事情不要假裝會,"If you don’t know (understand), don’t pretend that you are very good at something."
kè-á,kè-á,架子,a shelf
chheh-kè,tsheh-kè,書架,a bookshelf | a bookcase
ké | kái,ké | kái,改,to correct
"Lí chin pháiⁿ sèng-tē, tio̍h-ài ké (kái) chiah hó.",,你的性質很壞，要改才好,"Your disposition is terrible, you just must change it."
kè-sio̍k,kè-sio̍k,繼續,to continue
Chhiáⁿ lí kè-sio̍k tha̍k.,,請你繼續讀,Please continue to read.
ké,ké,,To put something under a piece of furniture so as to make it steady | or to raise it higher.
"Chit tè toh-á siuⁿ kē, ài ké khah koân.",,這一個桌子太低，要填高一點,"This table is too low, something must be put under the legs to make it higher."
"Chit tè chè-tâi bô chāi, ài the̍h chi̍t tè chhâ lâi ké hō͘ chāi.",,這個祭台不穩定，要拿一塊木頭把它嵌入,"This altar is not steady, something must be wedged under it to make it steady."
"Lí nā the̍h bē tio̍h, ài gia̍h í-á lâi ké-kha.",,你假如拿不到，要用椅子填高,"If you cannot reach it, you must bring a chair and stand on it."
kè-soàn | kè-sǹg,kè-suàn | kè-sǹg,計算,to calculate | to reckon
"Chit goe̍h-ji̍t khai lōa chē chîⁿ, lí ū kè-soàn khòaⁿ bāi--lè--bô?",,這個月花了多少錢，你有計算看看嗎？,Have you calculated how much money you spent this month?
keh,keh,格,a division | a space
keh-piah,keh-piah,隔壁,adjacent | neighboring | next door
keh-ji̍t | làng-ji̍t,keh-ji̍t | làng-ji̍t,隔一天,on alternate days
keh nn̄g-ji̍t,keh nn̄g-ji̍t,隔兩天,after an interval of two days
keh saⁿ-ji̍t,keh sann-ji̍t,隔三天,after an interval of three days
"Chù-siā, saⁿ ji̍t chù chi̍t pái chiū hó, lí keh nn̄g ji̍t chiah koh lâi.",,打針三天打一次就可以，你隔兩天再來,"I will be sufficient to give an injection every three days, come again after two days."
keh-lī,keh-lī,隔離,to isolate
"Chit khoán ê pēⁿ (pīⁿ) ē thoân-jiám--lâng, tio̍h-ài kóaⁿ-kín keh-lī chiah hó.",,這種病會傳染，要趕快隔離才好,"This disease is contagious, we must isolate you at once."
ke̍k,ki̍k,極,extremely
ke̍k-súi,ki̍k-suí,最美麗,very pretty
kek,kik,窒息 | 悶,to be suffocated | to irritate
"Tī hia teh lo̍h-pûi, góa hō͘ i kek kah tòng bē tiâu.",,那裏正在下肥，我悶得要命,"They are fertilizing the fields over there, I am irritated to the point that I cannot stand it (It stinks to the high heavens)."
hō͘ chúi kek--sí,hōo tsuí kek--sí,溺死,to be drowned
hō͘ óa-su kek--sí,hōo uá-su kik--sí,被瓦斯悶死,to be suffocated with gas
keng-chio | kin-chio,king-tsio | kin-tsio,香蕉,banana
kéng-khì,kíng-khì,景氣,business | times | means of livelihood
Kīn-lâi lông-chhoan ê kéng-khì chin hó.,,近來農村的景氣很好,"Recently, life in the country has been very good."
kéng-sek | kéng-tì,kíng-sik | kíng-tì,景色 | 風景,scenery | landscape
Ji̍t-goa̍t-thâm ê kéng-sek (kéng-tì) chin hó.,,日月潭的景色很好,The scenery at Sun-Moon-Lake is very good.
keng-kòe,king-kuè,經過,to pass | to go through
Boeh khì Oân-lîm tio̍h-ài keng-kòe Chiong-hòa.,,要去員林須經過彰化,In going to Oan Lim one must pass Changhua.
keng-chè,king-tsè,經濟,economics
Chím-má i ê keng-chè chin khùn-lân.,,現在他的經濟很困難,He is now in a very bad way financially.
keng-giām,king-giām,經驗,experience | to experience
ū keng-giām,ū king-giām,有經驗,having experience
bô keng-giām,bô king-giām,沒有經驗,having no experience
lāu keng-giām,lāu king-giām,老經驗,well experienced
m̄ bat keng-giām--tio̍h,m̄ bat king-giām--tio̍h,沒有經驗過,have not experienced
keng-hùi,king-huì,經費 | 費用,upkeep | expenditure | expenses
Goán tau chi̍t kó͘-goe̍h ê keng-hùi ài sì gō͘ chheng kho͘.,,我家一個月要開支四五千塊,Our family expenses are four or five thousand dollars a month.
kèng-chhat,kìng-tshat,警察,policeman
kéng-chhat kio̍k,kíng-tshat kio̍k,警察局,a police station
kèng-pò,kìng-pò,警報,an alarm | signal
khong-si̍p kèng-pò,khong-si̍p kìng-pò,空襲警報,air raid alarm
hong-thai kèng-pò,hong-thai kìng-pò,颱風警報,a typhoon signal or alarm
kèng-ì,kìng-ì,敬意,respect | reverence
piáu kèng-ì,piáu kìng-ì,表敬意,to pay one's respect
Góa nā koh lâi Tâi-tiong chiah koh lâi kā lí piáu kèng-ì.,,我下一次來台中，再來向你表敬意,When I return to Taichung I'll pay you my respects.
keng-thâu,king-thâu,肩膀,the shoulder (of body)
Tāng ê hêng-lí giâ tòa keng-thâu khah hó kiâⁿ.,,重的行李放在肩上較好走,"It's better walking, if heavy baggage is carried on the shoulder."
kéng,kíng,揀 | 選擇,to pick out | select | choose | prefer
"Góa boeh chi̍t hāng hō͘ lí chò kì-liām, chit lāi-bīn ê mi̍h chhut-chāi lí kéng-chi̍t-hāng.",,我想給你一件東西做紀念品，這裡面的東西任你挑一件,I want to give you something as a remembrance; select something from the things in here.
"Chiah ê bí chin chē chio̍h-thâu-á, tio̍h-ài kéng tiāu.",,這些米裡面雜著很多小石頭，必須把他揀丟,"This rice has a lot of small pebbles in it, they must be picked out."
kha,kha,脚 | 下,foot | base | under | cl. for any kind of bucket or basket
tī toh kha,tī toh kha,在桌下,inder the table
chi̍t kha láng,tsi̍t kha láng,一個籃子,a basket
chi̍t kha ê,tsi̍t kha ê,一隻鞋,an odd shoe
chi̍t kha tī,tsi̍t kha tī,一隻筷子,an odd chopstick
kha,kha,脚,a foot
kha-tah-chhia | thih-bé,kha-tah-tshia | thih-bé,腳踏車,a bicycle
kha-tòng,kha-tòng,脚擋 | 腳刹車,foot brake
kha-chiah-phiaⁿ,kha-tsiah-phiann,背部,the back
khà | kòng | phah,khà | kòng | phah,打 | 敲,to strike
khà tiān-pò | kòng tiān-pò,khà tiān-pò | kòng tiān-pò,打電報,to send a telegram
khà tiān-ōe,khà tiān-uē,打電話,to telephone
khà cheng,khà tsing,打鐘,to strike a big bell
kha-chhiú,kha-tshiú,幫手 | 人手,a (helping) hand | help
"Goán-tau ū (or chin chē) kha-chhiú, só͘-í m̄ bián chhiàⁿ lâng.",,我家人手足，所以不必雇人,"We have help at home, so it is not necessary to hire anyone."
"Lóng bô kha-chhiú, tio̍h-ài chhiàⁿ lâng.",,人手不足，就得雇人,"We have no help at all, we must hire someone."
Góa kā lí tàu kha-chhiú.,,我給你幫忙,I will lend you a hand.
kha-chhng,kha-tshng,屁股,the hips | the seat
Lí ê khò͘ kha-chhng phòa chi̍t khang (or Lí ê khò͘-té phòa chi̍t khang),,你的褲子臀部破了一個洞,You have a hole in the seat of your pants.
kha-chhng tn̂g | tn̂g kha-chhng,kha-tshng tn̂g | tn̂g kha-tshng,屁股長,(Lit. The rear end [屁股長] is long) To wear out one's welcome
"Hit ê lâng-kheh kha-chhng chin tn̂g, m̄ chai tang-sî chiah boeh tńg-khì.",,那個客人屁股很長，不曉得什麼時候才要回去,"That visitor is a real bore (pest), I wonder when he will leave."
khah,khah,,comparative particle.
chò khah ū khang-khòe,tsò khah ū khang-khuè,做更多的工作,to get more done
"Chió lâng chò khah ū khang-khòe, chē lâng tian-tò chò khah bô khang-khòe.",,少少的人能做很多的事情，太多的人反而做不多,A few people get more work done; on the contrary many people accomplish very little (get very little work done).
khah ài,khah ài,寧可 | 寧願 | 比較喜歡,to prefer
"Ka-pi góa khah ài lim sio ê, khah bô ài lim léng ê.",,咖啡我比較喜歡喝熱的，比較不喜歡喝冷的,I prefer to drink hot coffee; I don't care much for cold stuff.
khah chai-iáⁿ,khah tsai-iánn,曉得多,to be better informed
"Chit hāng tāi-chì i khah chai-iáⁿ, góa khah m̄ chai (iáⁿ).",,這件事情他比我知道得多，我比較不清楚,"He is better informed on this matter, I don't know much about it."
khah ū êng,khah ū îng,比較有空,to have more free time
"Góa lé-pài-ji̍t khah ū êng, phó͘-thong-sî (or -ji̍t) khah bô êng.",,我星期日比較閒，平常比較忙,I have more free time on Sundays; on weekdays I am rather busy.
khah ē-hiáu,khah ē-hiáu,比較會,to know better how to do something
"Góa khah ē-hiáu phah nâ-kiû, khah bē hiáu siû-chúi.",,我比較會打籃球，比較不會游泳,I am rather good at playing basketball; I am not so good at swimming.
khah ē lo̍h hō͘,khah ē lo̍h hōo,比較會下雨,usually rains more
"Joa̍h-thiⁿ (-sî) khah ē lo̍h-hō͘, kôaⁿ-thiⁿ (sî) khah bē lo̍h-hō͘.",,夏天比較會下雨，冬天比較不會下雨,"It rains more in Summer, less in Winter."
khah ē tàng,khah ē tàng,比較容易,more likely to be able to
"(Tī) sè-kan, bô tek-khah ū ha̍k-būn ê lâng khah ē tàng sêng-kong, bô ha̍k-būn ê lâng khah bē tàng sêng-kong.",,世界上不一定是有學問的人較容易成功，沒有學問的人比較不容易成功,"In the world the better educated people are not definitely more likely to succeed, and the less educated more likely to fail."
khah ū lâng kóng,khah ū lâng kóng,比較有人講,more people
"Chit kù khah ū lâng kóng, hit kù khah bô lâng kóng.",,這句話比較有人講，那句比較沒有人講,People say this more; they don't say that very much.
khah ū chîⁿ,khah ū tsînn,比較有錢,more wealthy | rather wealthy
"I khah ū chîⁿ, góa khah bô chîⁿ.",,他比較有錢，我比較沒有錢,He is rather wealthy; I have not too much money.
khah chhiⁿ-chhiūⁿ,khah tshinn-tshiūnn,比較像,to resemble more | to be more like
"Chit ê gín-ná khah chhin-chhiūⁿ in lāu-pē, khah bô chhin-chhiūⁿ in lāu-bú.",,這個小孩子比較像他的父親，較不像他的母親,This youngster more resembles his father; he doesn’t resemble his mother very much.
khah hó chia̍h,khah hó tsia̍h,比較好吃,to taste better
"Ko-hiông ê bo̍k-koe khah hó-chia̍h, Tâi-tiong ê khah (or m̄) hó-chia̍h.",,高雄的木瓜比較好吃，台中的比較不好吃,"The papayas from Kaohsiung are pretty good, but those from Taichung are not too good."
khah khoah,khah khuah,比較廣,more widespread
