wuu-Hant-x-taiz1238,x-emoji,en-US,x-image,nan-Hant-x-chao1239,ral,swh,wuu-x-ouji1238,zh-Hans-CN,zh-Hant-TW,zyg-x-yang1286
,,,,歇,,,,,休息,
,,,,煩惱,,,,担心,,
,,,,相信,,,,相信,,
,,,,相輔,,,,帮忙,,
,,,,含包,,,,包含,,
,,,,拚頭前,,,,争先,,
,,,,輸服,,,,佩服,,
,,,,tak-nn̄g,,,,浪费,,
,,,,交落,,,,掉落,,
,,,,沕,,,,躲 | 藏,,
,,,,支,,,,预支,,
,,,,圖賴,,,,耍赖,,
,,,,放惰,,,,懒得,,
,,,,生好 | 雅 | 媠,,,,漂亮,,
,,,,䆀,,,,差,,
,,,,痞,,,,歹,,
,,,,大細,,,,大小,,
,,,,加加減減,,,,多多少少,,
,,,,稀罕,,,,稀少,,
,,,,排比,,,,安排,,
,,,,猛慢,,,,早晚,,
,,,,肥,,,,胖,,
,,,,肥腯肥腯,,,,胖嘟嘟,,
,,,,㾪,,,,瘦,,
,,,,㾪猴,,,,瘦猴,,
,,,,懸下,,,,高低,,
,,,,早,,,,早,,
,,,,晏,,,,晚,,
,,,,粗,,,,粗,,
,,,,幼,,,,细,,
,,,,粗殘,,,,粗鲁,,
,,,,仔細,,,,小心,,
,,,,僫,,,,难,,
,,,,易,,,,容易,,
,,,,闊,,,,宽,,
,,,,狹,,,,窄,,
,,,,光,,,,亮,,
,,,,暗,,,,暗,,
,,,,吵,,,,吵,,
,,,,吵吵著,,,,吵吵闹闹,,
,,,,飽,,,,饱,,
,,,,枵,,,,饿,,
,,,,橂,,,,坚硬 | 坚实,,
,,,,軟,,,,软弱,,
,,,,韌,,,,坚强,,
,,,,脆,,,,脆弱,,
,,,,聰明,,,,聪明,,
,,,,愚蠢,,,,愚蠢,,
,,,,戇,,,,愚笨,,
,,,,賰,,,,剩,,
,,,,欠,,,,缺少,,
,,,,清,,,,清晰,,
,,,,雾,,,,模糊,,
,,,,清氣,,,,干净,,
,,,,清氣相,,,,干净的样子,,
,,,,垃圾,,,,肮脏,,
,,,,垃圾相,,,,肮脏的样子,,
,,,,無沙無圾,,,,一尘不染,,
,,,,著,,,,对,,
,,,,毋著,,,,不对,,
,,,,錯,,,,错,,
,,,,熟,,,,熟,,
,,,,生,,,,生,,
,,,,切要 | 緊要,,,,要紧,,
,,,,無要緊,,,,不要紧,,
,,,,大扮,,,,阔绰,,
,,,,咸澀,,,,吝啬 | 悭吝,,
,,,,惰,,,,懒惰,,
,,,,鬧熱,,,,热闹,,
,,,,健,,,,矫健,,
,,,,碩㦙,,,,聪明和愚蠢,,
,,,,夠強 | 夠力 | 夠勥,,,,厉害,,
,,,,枝毛細節,,,,鸡毛蒜皮,,
,,,,偪側,,,,烦躁,,
,,,,生分,,,,陌生,,
,,,,無影無跡,,,,无凭无据,,
,,,,一生跪跋,,,,一生坎坷,,
,,,,酷,,,,很,,
,,,,死,,,,特别,,
,,,,遐 | 若,,,,那么,,
,,,,酷㩼人,,,,很多人,,
,,,,死雅,,,,特别漂亮,,
,,,,若雅,,,,那么漂亮,,
,,,,此遐細,,,,这么小,,
,,,,遐好,,,,那么好,,
,,,,上好,,,,最好,,
,,,,上減,,,,最少,,
,,,,上加,,,,最多,,
,,,,捌,,,,曾经,,
,,,,攏總,,,,总共,,
,,,,煞,,,,竟然,,
,,,,顛倒,,,,反而,,
,,,,做包 | 做蜀 | 做平,,,,一起,,
,,,,汝較勥,,,,你比较厉害,,
,,,,毋捌來過,,,,不曾来过,,
,,,,汝煞毋知,,,,你竟然不知道,,
,,,,六月顛倒來落雪,,,,六月反而下起雪,,
,,,,做蜀khà,,,,一起去,,
,,,,薄殼,,,,海瓜子 | 海蛔 | 寻氏肌蛤,,
,,,,田螺,,,,田螺,,
,,,,五穀,,,,五谷,,
,,,,稻,,,,水稻,,
,,,,粟,,,,稻粒,,
,,,,麥,,,,麦,,
,,,,秫米,,,,糯米,,
,,,,薏米,,,,薏米,,
,🍠,,,蕃薯,,,,地瓜 | 蕃薯,,
,,,,黃豆,,,,黃豆 | 大豆,,
,,,,綠豆,,,,绿豆,,
,,,,烏豆,,,,黑豆,,
,,,,赤豆,,,,红小豆,,
,🫛,,,荷目豆 | 荷蘭豆,,,,豌豆,,
,🥜,,,地豆,,,,花生,,
,,,,豆仁,,,,花生米,,
,,,,油麻,,,,芝麻,,
,🍆,,,茄,,,,茄子,,
,,,,苦瓜,,,,苦瓜,,
,,,,角瓜,,,,棱角丝瓜,,
,,,,秋瓜,,,,丝瓜,,
,,,,嬭瓜 | 奶瓜,,,,木瓜,,
,,,,蓮藕,,,,莲藕,,
,,,,菠薐菜,,,,菠菜,,
,,,,蕹菜,,,,空心菜,,
,,,,春菜,,,,长叶芥菜,,
,🥦,,,菜花,,,,花椰菜,,
,,,,芥菜,,,,包心芥菜 | 大芥菜,,
,,,,菜頭,,,,白萝卜,,
,🥕,,,紅菜頭,,,,红萝卜,,
,,,,錢蔥 | 薺蔥,,,,荸荠,,
,,,,韭菜,,,,韭菜,,
,,,,芫荽,,,,香菜,,
,,,,厚合,,,,莙荙菜 | 厚皮菜 | 叶用甜菜,,
,,,,九層塔,,,,金不换 | 罗勒,,
,,,,萵菜,,,,生菜 | 皱叶莴苣,,
,,,,劍菜,,,,油麦菜 | 尖叶油麦菜,,
,,,,芹菜,,,,芹菜,,
,,,,高麗菜,,,,结球甘蓝 | 卷心菜 | 包菜,,
,,,,茼蒿,,,,茼蒿,,
,,,,枸杞菜,,,,枸杞菜,,
,🏹,,,中箭,,,,射箭,射箭,
,,,,三目蠘,,,,三目蟹 | 红星梭子蟹,,
,🥭,,,檨,,,,芒果,,
,,,,生果,,,,水果,,
,🌶️,,,薟椒,,,,辣椒,,
,,,,真珠菜,,,,珍珠花菜,,
,,,,荔果,,,,荔枝,,
,,,,龍眼,,,,龙眼,,
,,,,桑垂,,,,桑葚,,
,🍓,,,草莓,,,,草莓,,
,,,,刺菠,,,,蛇莓 | 覆盆子,,
,🍌,,,弓蕉,,,,香蕉,,
,,,,米蕉,,,,米蕉,,
,,,,菝囝,,,,番石榴,,
,🍉,,,西瓜,,,,西瓜,,
,,,,香櫞,,,,香橼,,
,,,,柚,,,,柚子,,
,,,,柑,,,,柑橘,,
,,,,桔,,,,桔子,,
,,,,橙,,,,橙子,,
,,,,油甘,,,,油甘 | 余甘果,,
,,,,青竹梅,,,,青梅,,
,,,,李,,,,李子,,
,,,,棗,,,,枣,,
,,,,蔗,,,,甘蔗,,
,,,,艾,,,,艾草,,
,,,,無理路,,,,没道理,,
,,,,草粿草,,,,仙草,,
,,,,抹草 | 策草,,,,广防风 | 防风草,,
,,,,青菭,,,,青苔,,
,,,,薄荷,,,,薄荷,,
,,,,午時花 | 金銀花,,,,金银花,,
,,,,四季春,,,,四季春花,,
,,,,葉下紅,,,,一点红,,
,,,,臭草花,,,,马缨丹 | 五色梅,,
,,,,路跤菊,,,,路边菊,,
,,,,臘裏葉,,,,金边红桑,,
,,,,芒囝筍,,,,芒草的嫩芽,,
,,,,竹菜,,,,竹叶草,,
,,,,葛菜,,,,野葛菜,,
,,,,烏規菜,,,,龙葵,,
,,,,豬母菜,,,,马齿苋,,
,,,,苦刺,,,,白簕,,
,,,,苦草,,,,豨莶草,,
,,,,兩公根,,,,崩大碗,,
,,,,鋪地錦,,,,满天星,,
,,,,伸筋藤,,,,蔓九节,,
,,,,見笑草,,,,含羞草,,
,,,,蟋蟀草 | 烏龍草,,,,乌龙草,,
,,,,鸭舌草,,,,苦菜,,
,,,,龍膽草,,,,苦地胆草,,
,,,,奶汁草,,,,乳汁草,,
,,,,大號奶汁草,,,,飞扬草,,
,,,,貓毛兒,,,,金丝草,,
,,,,鹅囝香,,,,鹅不食草,,
,,,,四方枝苦楝,,,,鬼针草,,
,,,,苦楝,,,,苦楝树,,
,,,,挨礱被哺,,,,磨砻草 | 磨盘草,,
,,,,天頂,,,,天上,,
,,,,蝕日,,,,日食,,
,,,,狗齧日,,,,天狗食日,,
,,,,西照日,,,,夕阳,,
,🌙,,,月眉,,,,弦月,,
,,,,蝕月,,,,月食,,
,,,,河溪,,,,银河 | 天河,,
,,,,落屎星,,,,流星,,
,,,,星宿,,,,星宿,,
,,,,中央,,,,中间,,
,,,,內底,,,,里面,,
,,,,外口,,,,外面,,
,,,,頭頂,,,,上面,,
,,,,下底 | 下跤,,,,下面,,
,,,,正手爿,,,,右边,,
,,,,倒手爿,,,,左边,,
,,,,後壁 | 後底,,,,后面,,
,,,,對面,,,,对面,,
,,,,隔壁,,,,旁边,,
,,,,鄰近,,,,邻近,,
,,,,塗跤,,,,地上,,
,,,,番爿,,,,外国,,
,,,,北爿,,,,北面,,
,,,,東南西北,,,,东南西北,,
,,,,地盤,,,,地盘,,
,,,,領域,,,,领域,,
,,,,境內,,,,境内,,
,,,,天涯,,,,天涯,,
,,,,山頂,,,,山顶,,
,,,,山跤,,,,山脚,,
,,,,別地塊 | 外塊 | 別塊,,,,外地,,
,,,,本地,,,,本地,,
,,,,塗,,,,泥,,
,,,,塗膏,,,,泥巴,,
,,,,石頭,,,,石头,,
,,,,田園,,,,田园,,
,,,,溪墘,,,,溪边,,
,,,,草埔,,,,草坪,,
,,,,海湧,,,,海浪,,
,,,,地牛換肩,,,,地震,,
,,,,許婆寮,,,,可和村,,
,,,,北輋,,,,博社村,,
,,,,四捻石,,,,四片石,,
,,,,水銀,,,,水银,,
,,,,碳,,,,碳,,
,,,,大理石,,,,大理石,,
,,,,砂石,,,,砂石,,
,,,,耍遊戲,,,,玩游戏,,
,,,,中珠,,,,打弹珠,,
,🔫,,,彈槍,,,,开枪,,
,,,,踏孔,,,,捉迷藏,,
,🏊,,,泅水,,,,游泳,,
,,,,釣魚,,,,钓鱼,,
,♟️,,,行棋,,,,下棋,,
,🪁,,,放風箏,,,,放风筝,,
,🧨,,,拍連炮,,,,放鞭炮,,
,,,,沃花,,,,浇花,,
,,,,做戲,,,,演戏,,
,,,,萬事應想,,,,万事如意,,
,,,,生理大趁,,,,生意兴隆,,
,,,,新年大趁,,,,新年大赚,,
,,,,新年合想 | 新年應想,,,,新年如意,,
,,,,大吉大利,,,,大吉大利,,
,,,,雞屎藤,,,,鸡屎藤,,
,,,,車前草,,,,车前草,,
,,,,馬鞭草,,,,马鞭草,,
,,,,蒲公英,,,,蒲公英,,
,,,,魚腥草,,,,鱼腥草,,
,,,,益母草,,,,益母草,,
,,,,津白,,,,绍菜 | 黄芽白,,
,,,,蜈蜞,,,,水蛭,,
,,,,草蜢,,,,蚱蜢 | 蚂蚱,,
,,,,蟾蜍,,,,蟾蜍,,
,,,,临檐,,,,檐廊,,
,,,,㾪脯皺,,,,皮包骨,,
,,,,一陣雨,,,,一阵雨,,
,,,,冷空氣,,,,冷空气,,
,,,,媽祖,,,,妈祖,,
,,,,白砂糖,,,,白砂糖,,
,,,,赤砂糖,,,,赤砂糖,,
,,,,此遐,,,,这些,,
,,,,彼遐,,,,那些,,
,,,,倒帳,,,,倒闭,,
,,,,𤰉賤,,,,繁多,,
,,,,猛慢,,,,快慢,,
,,,,恬,,,,闭嘴,,
,,,,李,,,,李,,
,,,,攏總 100銀,,,,总共 100块,,
,,,,此遐,,,,这么,,
,,,,百,,,,百,,
,,,,千,,,,千,,
,,,,萬,,,,万,,
,,,,億,,,,亿,,
,,,,一二個,,,,一两个,,
,,,,二十六,,,,二十六,,
,,,,廿六號,,,,二十六号,,
,,,,五十外個,,,,五十多个,,
,,,,一百空八,,,,一百零八,,
,,,,第一,,,,第一,,
,,,,第二,,,,第二,,
,,,,第三,,,,第三,,
,,,,一個人,,,,一个人,,
,,,,一爿花,,,,一片花瓣,,
,,,,一蕊花 | 一葩花,,,,一朵花,,
,,,,一枝花,,,,一枝花,,
,,,,一縛花,,,,一束花,,
,🌲,,,一叢樹,,,,一棵树,,
,,,,一簇頭毛,,,,一撮头发,,
,,,,一粒糖,,,,一颗糖,,
,,,,一隻車 | 一架車,,,,一辆车,,
,,,,一杯茶,,,,一杯茶,,
,,,,一碗水,,,,一碗水,,
,,,,一喙水,,,,一口水,,
,,,,一條弓蕉,,,,一条香蕉,,
,,,,一本書,,,,一本书,,
,,,,一支手機,,,,一只手机,,
,,,,一支鎖匙,,,,一把钥匙,,
,,,,一個銀,,,,一元 | 一块钱,,
,,,,一領被,,,,一席被子,,
,,,,一個鋪,,,,一张床,,
,,,,一個鐘頭,,,,一个小时,,
,,,,一副衫褲,,,,一套衣服,,
,,,,一腰裙,,,,一件裙子,,
,,,,一尾魚,,,,一条鱼,,
,,,,一墩物件,,,,一堆东西,,
,,,,一橛蔗,,,,一截甘蔗,,
,,,,一葩電火,,,,一盏电灯,,
,,,,一跤箸,,,,一支筷子,,
,,,,一雙箸,,,,一双筷子,,
,,,,一腹火,,,,一肚子火,,
,,,,一脬屎,,,,一坨屎,,
,,,,一脬尿,,,,一泡尿,,
,,,,一逝路,,,,一趟路,,
,,,,一丸塗,,,,一团泥土,,
,,,,一過,,,,一遍,,
,,,,立春,,,,立春,,
,,,,雨水,,,,雨水,,
,,,,驚蟄,,,,惊蛰,,
,,,,春分,,,,春分,,
,,,,清明,,,,清明,,
,,,,谷雨,,,,谷雨,,
,,,,立夏,,,,立夏,,
,,,,小滿,,,,小满,,
,,,,芒種,,,,芒种,,
,,,,夏至,,,,夏至,,
,,,,小暑,,,,小暑,,
,,,,立秋,,,,立秋,,
,,,,處暑,,,,处暑,,
,,,,白露,,,,白露,,
,,,,秋分,,,,秋分,,
,,,,寒露,,,,寒露,,
,,,,霜降,,,,霜降,,
,,,,立冬,,,,立冬,,
,,,,小雪,,,,小雪,,
,,,,大雪,,,,大雪,,
,,,,小寒,,,,小寒,,
,,,,大寒,,,,大寒,,
,,,,元宵節,,,,元宵节,,
,,,,春節,,,,春节,,
,,,,重陽,,,,重阳节,,
,,,,清明節,,,,清明节,,
,,,,方位,,,,方位,,
,,,,頭前,,,,前面,,
,,,,鯁,,,,鲠 | 卡,,
,,,,虎耳草,,,,虎耳草,,
,,,,礦物,,,,矿物,,
,,,,化石,,,,化石,,
,,,,原油,,,,原油,,
,,,,燃料,,,,燃料,,
,,,,金屬,,,,金属,,
,,,,金銀財寶,,,,金银财宝,,
,,,,鋼鐵,,,,钢铁,,
,,,,蘇打,,,,苏打,,
,,,,蠟,,,,蜡,,
,,,,硫磺,,,,硫磺,,
,,,,砒霜,,,,砒霜,,
,,,,轉南風,,,,回南天来了,,
,,,,烏寒雨,,,,阴天且寒冷的下雨天气,,
,,,,臭酸,,,,酸臭味,,
,,,,臭生,,,,生臭味,,
,,,,活神,,,,灵活有神,,
,,,,雨傘節,,,,雨伞节 | 银环蛇,,
,,,,枯蠅,,,,蚤蝇 | 果蝇,,
,,,,絲丁魚,,,,豆腐鱼 | 龙头鱼 | 硬鱼,,
,,,,塗虱,,,,胡子鲶,,
,,,,黃牆,,,,黄鳍鲷,,
,,,,軟甘,,,,杜氏𫚕,,
,,,,沙尖,,,,多鳞𬶮 | 沙鲮,,
,,,,龍箭,,,,鲮鱼,,
,,,,石剎,,,,松鲷,,
,,,,淡角魚,,,,鲬鱼 | 辫子鱼,,
,,,,海蜇,,,,海蜇,,
,,,,蚶,,,,蚶子,,
,,,,蜆,,,,蛤蜊,,
,,,,青匙,,,,绿壳菜蛤,,
,,,,青蛤,,,,环文蛤,,
,,,,毛蚶,,,,毛蚶,,
,,,,指甲螳,,,,蛏子,,
,,,,上海青,,,,上海青,,
,,,,芥藍,,,,芥蓝,,
,,,,鳥梨,,,,鸟梨,,
,,,,飛天蜈蚣,,,,百足草 | 竹节蓼,,
,,,,刺莧,,,,刺苋,,
,,,,燈籠草,,,,苦蘵,,
,,,,貓鬚草,,,,猫须草,,
,,,,白花蛇舌草,,,,白花蛇舌草,,
,,,,白花蟛蜞草,,,,白花蟛蜞草,,
,,,,三十夜,,,,除夕,,
,,,,煲藥,,,,熬药,,
,,,,摔,,,,抽打,,
,,,,tiù竹囝,,,,挨藤条,,
,🤦,,,揞面,,,,掩面,,
,,,,掃面龐,,,,扇耳光,,
,,,,抶手,,,,打手心,,
,,,,爬,,,,挠 | 搔,,
,,,,紅肉,,,,红肉蓝蛤,,
,,,,尖螺,,,,锥螺,,
,,,,無頭藤,,,,无根藤,,
,,,,盐酸鸡囝,,,,酢酱草,,
,,,,食齋菜,,,,吃斋菜,,
,,,,食七樣菜,,,,吃七样菜,,
,,,,食蔗,,,,吃甘蔗,,
,,,,食青草飯,,,,吃青草饭,,
,,,,食硬殼餅,,,,吃硬壳饼,,
,,,,食飯茶,,,,吃饭茶,,
,,,,食梔粽,,,,吃栀粽,,
,,,,食梔粿,,,,吃栀粿,,
,,,,洗午時水,,,,用午时水洗脸洗澡,,
,,,,出花園,,,,出花园,,
,,,,拜月娘,,,,拜月亮,,
,,,,食雞湯,,,,吃鸡汤,,
,,,,食冬節丸,,,,吃冬至丸,,
,,,,食羊肉,,,,吃羊肉,,
,,,,食羊血,,,,喝羊血,,
,,,,食團圓飯,,,,吃团圆饭,,
,,,,壓腰錢,,,,压岁钱,,
,,,,敲英歌,,,,英歌舞表演,,
,,,,咒誓,,,,发誓赌咒,,
,,,,痟,,,,疯子,,
,,,,神經,,,,神经病,,
,,,,腦孬,,,,脑子坏了,,
,,,,破脑囝,,,,弱智,,
,,,,哭呻,,,,哭喊,,
,,,,哭父死母,,,,哭爹喊娘,,
,,,,咋死人,,,,吵死了,,
,,,,鬼囝 | 鬼卒囝,,,,小鬼,,
,,,,鬼然然,,,,像鬼一样,,
,,,,鬼囉作禍,,,,鬼在作祟,,
,,,,妖怪精,,,,妖怪,,
,,,,去死掉掉,,,,去死吧,,
,,,,臭膣,,,,臭婊子,,
,,,,豺狗,,,,狗腿子,,
,,,,無卵,,,,没胆量,,
,,,,無腦,,,,没脑子,,
,,,,𠀾好,,,,不会好,,
,,,,痞囝,,,,流氓 | 痞子,,
,,,,破家囝,,,,败家子,,
,,,,痴哥囝,,,,色狼,,
,,,,我無閒,,,,我没空,,
,,,,走街邊,,,,摆地摊,,
,,,,汝愛去怎樣麼緊,,,,你赶着去干嘛,,
,,,,勿此樣生,,,,不要这样,,
,,,,知收煞,,,,适可而止,,
,,,,毋別世代,,,,不懂事,,
,,,,無變,,,,没有办法,,
,,,,堵著無變,,,,逃不掉,,
,,,,無奈何,,,,无可奈何,,
,,,,呾死無會變,,,,冥顽不灵,,
,,,,橂過石部,,,,比石头还硬,,
,,,,三斗油麻倒無一粒落耳,,,,耳边风,,
,,,,見笑 | 瀉衰人,,,,丟人,,
,,,,無目睇,,,,不想看,,
,,,,鴨囝聽雷,,,,听不懂 | 鸭子听雷,,
,,,,平安當大趁,,,,平安是福,,
,,,,大細目,,,,偏心,,
,,,,平樣平樣,,,,一模一样,,
,,,,勞生拚死,,,,拼死拼活,,
,,,,乞鬼侵著,,,,鬼附身,,
,,,,食呾會，躕人強,,,,能吃会说还很顽皮,,
,,,,無會少禮,,,,不害臊,,
,,,,暗過魂宫,,,,比阴间还暗,,
,,,,雙目囥著褲底,,,,双眼藏在裤子底下,,
,,,,戅過隻鴨,,,,比鸭子还戆,,
,,,,一樣糜飯飼千外樣人,,,,一样的米饭养了上千种人,,
,,,,三更想，半暝反,,,,三更想这样，半夜又反过来那样,,
,,,,過跤事知歇,,,,过去的事就不要再提了,,
,,,,刣雞教猴,,,,杀鸡儆猴,,
,,,,勿踟躕我,,,,别缠着我,,
,,,,老過伯爺,,,,比土地公还老,,
,,,,假力洗茶渣,,,,装勤奋去洗茶渣,,
,,,,死無命凝,,,,冷死了,,
,,,,富到流油,,,,很富有,,
,,,,千人千般苦，無人苦平樣,,,,一千个人有一千种苦，没有人的苦是一样的,,
,🦆,,,鴨囝,,,,鸭子,,
,,,https://images.langmap.io/e9147980-f261-41c8-afe5-36eb971ee206.webp,鸚哥魚,,,,洛神项鳍鱼,,
,,,,竹仔魚,,,,绿鳍马面鲀,,
,,,,鳥飛會落毛，人行有跤跡,,,,鸟飞过会掉落羽毛，人走过会有脚印,,
,,,,蟹有橂奅，人有碩㦙,,,,有人聪明有人笨,,
,,,,客情好過吊頷鬼,,,,待客比吊死鬼还热情,,
,,,,貓兒無葷無著厝，鴨囝無粟無會過暝,,,,小猫没有荤菜就不在家，小鸭没有稻粒就不过夜,,
,,,,衰雞無會食粟,,,,病鸡吃不下稻粒,,
,,,,無會死大破相,,,,不死也会头破血流,,
,,,https://images.langmap.io/df43bd8c-c970-4aa1-a9aa-10d5714d8cc5.webp,烏點龜,,,,,,
,,,https://images.langmap.io/03460189-cf02-471c-b353-39a254b6b2bd.webp,蝘悲蟬,,,,蟪蛄,,
,🫒,,,橄欖,,,,橄榄,,
,,,https://images.langmap.io/060867f5-47ba-48e2-8d22-85ee556efe6d.webp,畚斗,,,,垃圾铲,,
,,,,,,,来事,,,
,,,,臭尿薟,,,,尿骚味,,
,,,,通來通好 | 愈來愈好,,,,越来越好,,
,,,,通下行，通下食,,,,边走边吃,,
,,,,siãn,,,,累,,
,,,,了有呢,,,,有这事吗,,
,,,,百潲有,,,,什么都有,,
,,,,káiⁿ-chhèng-chhèng,,,,自以为是,,
,,,,半桶屎 | 半桶師,,,,半桶水,,
,,,,觸塗機,,,,推土机,,
,,,,厚塗車,,,,拖拉机,,
,,,,俯pau撐,,,,俯卧撑,,
,,,,孥囝角,,,,小孩子气,,
,,,,好角,,,,好人,,
,,,,車大炮 | 發潲,,,,吹牛,,
,,,,hiàⁿ氣,,,,不中用,,
,,,,放沙,,,,放鸽子,,
,,,,袂徛電,,,,掉电快 | 耗电快,,
,,,,舞,,,,搞,,
,,,,汝囉舞乜个,,,,你在搞什么,,
,,,,舞龍舞虎,,,,搞东搞西,,
,,,,lèng跤尾,,,,踮脚尖,,
,,,,番話鳥話,,,,外国语 | 听不懂的话,,
,,,,hè-hè,,,,散散的,,
,,,,凊彩 | zuãn,,,,随便,,
,,,,àiⁿ-hiōⁿ,,,,好像,,
,,,,無相絀,,,,不欺客,,
,,,,絀秤,,,,缺斤少两,,
,,,,絀遠了,,,,差远了,,
,,,,知頭知尾,,,,知道来龙去脉,,
,,,,搞搞震,,,,捣乱 | 搞破坏,,
,,,,搭,,,,暂放 | 委托,,
,,,,落葉,,,,落叶,,
,,,,hiâu,,,,奇怪,,
,,,,跤肢拳頭,,,,拳脚,,
,,,,椅斗,,,,凳子,,
,,,,浮雞母皮,,,,起鸡皮疙瘩,,
,,,,kîng,,,,油凝固,,
,,,,開勢是,,,,原来是,,
,,,,伊開勢是阮叔伯,,,,他原来是我们叔伯,,
,,,,拄鬥,,,,凑合 | 拼凑,,
,,,,kiâm-sî,,,,临时,,
,,,,kiâm拄鬥,,,,临时凑合,,
,,,,埋,,,,活埋,,
,,,,䃭,,,,掩埋,,
,,,,好臉,,,,爱面子,,
,,,,擔枷,,,,自找苦吃,,
,,,,牽成,,,,成全,,
,,,,一節路,,,,一段路,,
,,,,汕頭,,,,汕头,,
,,,,汕尾,,,,汕尾,,
,,,,佮汝卵事,,,,关你屁事,,
,,,,等下汝著肉痛,,,,等下你就会感到肉痛,,
,,,,香口膠,,,,口香糖,,
,,,,雪條,,,,冰棍,,
,🥤,,,汽水,,,,汽水,,
,,,,雪糕,,,,雪糕,,
,,,,我囉做乜个,,,,我在做什么,,
,,,,開喙呾話,,,,开口说话,,
,,,,伊是乜生樣,,,,她是什么样的 | 他是什么样的,,
,,,,加滴囝修飾,,,,加一点修饰,,
,,,,拜拜,,,,祭拜,,
,,,,拜拜,,,,再见,,
,,,,天地父母,,,,天地父母,,
,,,,七聖娘,,,,七圣娘,,
,,,,觀音娘,,,,观音娘娘,,
,,,,拍好地基,,,,打好地基,,
,,,,我汝伊,,,,我你他,,
,,,,算一算,,,,数一数,,
,,,,邏輯,,,,逻辑,,
,,,,語氣,,,,语气,,
,,,,人佮身體,,,,人和身体,,
,,,,親情佮稱呼,,,,亲缘和称呼,,
,,,,身體佮感官,,,,身体和感官,,
,,,,日常生活,,,,日常生活,,
,,,,煮食,,,,煮饭,,
,,,,穿衫褲,,,,穿衣服,,
,,,,在厝內,,,,在家里,,
,,,,出外口,,,,去外面,,
,,,,娛樂佮運動,,,,娱乐和运动,,
,,,,感知世界,,,,感知世界,,
,,,,地理佮方位,,,,地理和方位,,
,,,,深入文化,,,,深入文化,,
,,,,落地生根,,,,落地生根,,
,,,,陳,,,,陈,,
,,,,林,,,,林,,
,,,,蔡,,,,蔡,,
,,,,范,,,,范,,
,,,,黃,,,,黄,,
,,,,鄭,,,,郑,,
,,,,許,,,,许,,
,,,,吳,,,,吴,,
,,,,劉,,,,刘,,
,,,,郭,,,,郭,,
,,,,王,,,,王,,
,,,,汪,,,,汪,,
,,,,楊,,,,杨,,
,,,,張,,,,张,,
,,,,趙,,,,赵,,
,,,,周,,,,周,,
,,,,洪,,,,洪,,
,,,,卓,,,,卓,,
,,,,沈,,,,沈,,
,,,,溫,,,,温,,
,,,,鐘,,,,钟,,
,,,,姚,,,,姚,,
,,,,謝,,,,谢,,
,,,,尤,,,,尤,,
,,,,歐,,,,欧,,
,,,,余,,,,余,,
,,,,龔,,,,龚,,
,,,,口詞,,,,说法,,
,,,,第一印象,,,,第一印象,,
,,,,呾好話,,,,说好话,,
,,,,疑問,,,,疑问,,
,,,,添丁進財 | 財丁興旺,,,,人财两旺,,
,,,,做生理,,,,做生意,,
,,,,拍工,,,,打工,,
,,,,做工課,,,,做工作,,
,,,,做中,,,,做中介,,
,,,,跳經絲,,,,跳橡皮筋 | 跳皮筋,,
,,,,凍露,,,,被寒露侵袭,,
,,,,崎,,,,山坡,,
,,,,坑,,,,坑 | 山谷,,
,,,,嶺,,,,山岭,,
,,,,岑,,,,岑,,
,,,,墟,,,,墟,,
,,,,壩,,,,沙洲,,
,,,,潭,,,,潭,,
,,,,溪,,,,溪,,
,,,,江,,,,江,,
,,,,河,,,,河,,
,,,,湖,,,,湖,,
,,,,海,,,,海,,
,,,,海拔,,,,海拔,,
,,,,洲,,,,洲,,
,,,,港,,,,港,,
,,,,灣,,,,湾,,
,,,,溝,,,,沟,,
,,,,渠,,,,渠,,
,,,,浦,,,,浦,,
,,,,澳,,,,澳,,
,,,,汕,,,,汕,,
,,,,拖磨,,,,劳累,,
,,,,嵁硈,,,,坎坷,,
,,,,夠衰,,,,太惨,,
,,,,將才,,,,魁梧,,
,,,,傻,,,,傻瓜,,
,,,,算囉算囉,,,,算了算了,,
,,,,道歉,,,,道歉,,
,,,,免客氣,,,,不用客气,,
,,,,有閒來食茶,,,,有空来喝茶,,
,,,,腊蔗,,,,乌腊蔗,,
,,,,竹蔗,,,,竹蔗,,
,🍦,,,甜筒,,,,甜筒,,
,🪒,,,鬚刨,,,,剃须刀,,
,,,,掠沙蜢,,,,捉蜻蜓,,
,,,,掠金龜,,,,捉金龟子,,
,,,,通世儂,,,,一辈子 | 一世,,
,,,,大暑,,,,大暑,,
,,,,節假日,,,,节假日,,
,,,,時年八節,,,,时年八节,,
,,,,公忌節,,,,公忌节,,
,,,,拜公忌,,,,拜公忌,,
,,,,無彩,,,,可惜,,
,,,,khiám彩 | khiám-tshái,,,,万一,,
,,,,癩瘑糜烂,,,,污秽不堪,,
,,,,無奈寫作不得已,,,,无奈写作不得已,,
,,,,曾,,,,曾,,
,,,,程,,,,程,,
,,,,掛紙,,,,扫墓,,
,,,https://images.langmap.io/2b4704b6-9f11-4200-84de-f49a78d287ad.webp,芳菜,,,,圆叶油麦菜 | 孔雀菜,,
,,,,此爿,,,,这边,,
,,,,彼爿,,,,那边,,
,,,,一ûe | che̍k-ûe,,,,一半,,
,,,,祭,,,,狼吞虎咽,,
,,,,雨沃日曝,,,,日晒雨淋,,
