nan-x-cha,nan-x-cha-Latn-puj,zh-TW,en-US,nan-x-cha_source_type,nan-x-cha_source_ref,nan-x-cha_tags,nan-x-cha_collection_id,nan-x-cha-Latn-puj_collection_id
無干涉,bô-kan-sia̍p,無關,concern does not,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無影,bô-iáⁿ,虛假,absurd,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無影無跡,bô-iáⁿ-bô-chiah,毫無根據,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無心,bô-sim,無心,inattentive,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無情理,bô-chhêng-lí,不通情理,unreasonable,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無才情,bô-tshâi-chhêng,沒本事,inability,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無拖欠,bô-thua-khiàm,不拖欠,payment,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無救了,bô-kiù--lō,沒救了,"there is no hope, (lit. there is no salvation.)",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無望,bô-mō,無望,hopeless,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無本事,bô-pún-sṳ̄,無本事,inability,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無本領,bô-pún-niá,沒本領,inability,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無父無母,bô-pẽ-bô-bó,無父無母,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無班母,bô-pan-bó,無節制,immoderate,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無生理,bô-seng-lí,沒有生意,trade dull,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無相干事,bô-siang-kan-sṳ̄,不相干的事,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無罪,bô-tsũe,無罪,innocent,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無胆,bô-táⁿ,沒有胆量,coward|timid,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無花果,bô-hue-kúe,無花果,fig,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無行,bô-hẽng,缺德,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|品評,2034669892,1118230472
無規矩,bô-kui-kṳ́,沒規矩,impertinent|rude,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|品評,2034669892,1118230472
無錯,bô-tshò,沒錯,correct|right,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無限,bô-hãn,無限,unlimited,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
無𡚸,bô-bóu,沒有老婆,bachelor,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
煆火,hiâⁿ-húe,燒火,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
煏,pek,烤,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
煖爐,zuán-lôu,火鍋,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食|物件,2034669892,1118230472
煙塵,eng-têng,煙塵,dust,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
煙筒,in-tâng,煙囪,chimney|a chimney|a funnel,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|行船,2034669892,1118230472
煠,sa̍h,水煮,"to boil in water, as eggs, fowls &c. without anything being added",考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
煠酒,sa̍h-chiú,燒酒,distil,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
照,chiè,按,shine|according to,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,入門,2034669892,1118230472
照律,chiè-lu̍t,依法,according to law,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
煩惱,huân-ló,擔心,care|grief|sad|sorry,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
煮,tsṳ́,做(飯),"cook|to boil as rice, vegetables &c in large utensils",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
煮食,tsṳ́-chia̍h,做飯,to cook for many,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
煲食,pû-chia̍h,做飯,to cook for one or two,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
煴,ùn,蘸,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
熇,hoh,蒸,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
熱布,zua̍h-pòu,夏布,grass cloth,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
熱衫,zua̍h-saⁿ,夏日外套,a summer coat,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
熻,hip,燜,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
燃塗炭,hiâⁿ-thôu-thuàⁿ,燒炭,to burn coal,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燃柴,hiâⁿ-tshâ,燒柴,to burn fire wood,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燃火个儂,hiâⁿ-húe--kâi-nâng,司爐,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燃火食,hiâⁿ-húe-si̍t,燒火做飯,cook,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燈心,teng-sim,燈心,lamp wick,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燈盞,teng-tsuáⁿ,中式台燈,a chinese table lamp,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
燈籠,teng-lâng,燈籠,"lantern, paper",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燉鉢,tũn-puah,燉鍋,a chinese earthen cooking vessel,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燒水,sie-tsúi,溫開水,飲食,,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燕窩,ièn-o,燕窩,birdnests,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
燕菜,ièn-tshài,海藻,seaweeds,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
燕鳥,ìⁿ-chiáu,燕子,swallow,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,動物|鳥,2034669892,1118230472
營盤,iâⁿ-puâⁿ,營地,camp,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,戰爭,2034669892,1118230472
燭檯,chek-tâi,燭檯,a candlestick,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
父母,pẽ-bó,父母,parents,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
爽快,sóng-khuài,歡快,happy,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|情緒,2034669892,1118230472
牀布,tshn̂g-pòu,桌布,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
牀頂,tshn̂g-téng,桌上,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
牙頭齒,gê-thâu-khí,臼齒,teeth molar|back teeth,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|身體,2034669892,1118230472
牛奶油,gû-nĩ-iû,黃油,butter,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
牛奶罐,gû-nĩ-kuàn,牛奶罐,a milk jug,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牛屎,gû-sái,牛屎,dung,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牛擔彎,gû-taⁿ-uan,牛軛,yoke,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牛皮,gû-phûe,牛皮,"hides, buffalo",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牛羊,gû-iêⁿ,牛羊,cattle,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牛角,gû-kak,牛角,"horns, buffalo",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牛黃,gû-n̂g,牛黃,cow bezoar,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牧師,mo̍k-sṳ,牧師,pastor,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物,mu̍eh,做,thing|do|make,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
物件,mu̍eh-kiãⁿ,東西,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
物儂驚,mu̍eh-nâng-kiaⁿ,嚇人,frighten,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物好,mu̍eh-hó,弄好,arrange,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物彎,mu̍eh-uan,弄彎,bend,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物掉,mu̍eh-tiāu,弄掉,spoil,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物業,mu̍eh-ngia̍p,物業,property,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物清潔,mu̍eh-chheng-khih,弄乾淨,clean,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物燃,mu̍eh-hiâⁿ,弄燃,fuel,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物破,mu̍eh-phuà,弄破,break,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
物食,mu̍eh-chia̍h,蜜餞,confections,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
牽成,khan-sêng,引薦,introduce,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牽拖,khan-thua,引薦,introduce,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
牽馬索,khan-bé-soh,牽馬繩,reins to hold,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
犀牛,sai-gû,犀牛,rhinoceros,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
犯人,huãm-jîn,犯人,prisoner,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
犯律,huãm-lu̍t,犯法,commit|break the law,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,法律,2034669892,1118230472
犯罪,huãm-tsũe,犯罪,commit a sin or a crime|sin to,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
狐狸,hôu-lâi,狐狸,fox,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
狗母,káu-bó,母狗,bitch,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,動物|家禽,2034669892,1118230472
狹,o̍ih,窄,narrow,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,入門,2034669892,1118230472
狹細,o̍ih-soih,(心胸)狹隘,,,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
猛,mé,快,fast|swift|quick,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,入門,2034669892,1118230472
獃,ngâi,呆,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|品評,2034669892,1118230472
王上,uâng-siãng,皇上,emperor,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
王后,uâng-hõu,王后,empress|queen,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
王宮,uâng-keng,王宮,palace,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
王寶,uâng-pó,王寶,sycee,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
王帽,uâng-bō,王冠,crown,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,政治,2034669892,1118230472
王梨,uâng-lâi,鳳梨,pineapple,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,植物|蔬菓,2034669892,1118230472
玳瑁,tāi-pūe,玳瑁,tortoise,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
玻璃,po-lî,玻璃,glass,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
玻璃器,po-lî-khì,玻璃器,glass ware,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
玻璃杯,po-lî-pue,玻璃杯,tumblers,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
玻璃樽,po-lî-tsun,玻璃瓶,bottles,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食|物件,2034669892,1118230472
珊瑚,san-hû,珊瑚,coral,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
現在,hīn-tsãi,現在,present time|present,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,時日,2034669892,1118230472
現錢,hiēn-chîⁿ,現金,cash ready,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
理事,lí-sṳ̄,理事,transact,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
琵琶,pî-pê,琵琶,guitar,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
瓜冊,kue-chheh,瓜冊,melon cut into small pieces and dried with sugar,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
甌,au,湯碗,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食|物件,2034669892,1118230472
甕,àng,大罐子,a large jar,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食|物件,2034669892,1118230472
甘愿,kam-nguãn,甘愿,satisfied|willing,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
甘癪,kam-chek,絛蟲病,having tapeworms in the stomach,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
甘草,kam-tsháu,甘草,liquorice,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
甘虫,kam-thâng,絛蟲,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
甘蜜,kam-bi̍t,檳榔膏,gambier,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
甘蟲,kam-thâng,甘蟲,tapeworms,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
甜料,tiâm-liāu,甜料,sweetmeats,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
甜糕,tiâm-ko,果醬,jam,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,飲食,2034669892,1118230472
生㿗,seⁿ-thûe,長癤,to have a boil,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
生事,seⁿ-sṳ̄,惹事,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
生分儂,chheⁿ-hūn-nâng,陌生人,stranger,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|稱呼,2034669892,1118230472
生囝,seⁿ-kiáⁿ,生孩子,deliver a child,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
生囝母,seⁿ-kiáⁿ-bó,助產士,midwife,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
生成,seⁿ-sêng,生成,natural,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
生日,seⁿ-ji̍t,生日,birthday,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
生物,seⁿ-mu̍eh,生物,disease|to have a disease,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
生理,seng-lí,生意,business mercantile|business|commerce|trade,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
生理儂,seng-lí-nâng,生意人,tradesman,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
生瘋,seⁿ-huang,風濕,rheumatism,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
生礬,chheⁿ-huân,綠礬,alum. green,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
生菜,chheⁿ-tshài,沙拉,salad,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,植物|蔬菓,2034669892,1118230472
生鉎,seⁿ-san,生鏽,rusty,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
生鐵,chheⁿ-thih,生鐵,iron. unwrought,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
產業,suáⁿ-ngia̍p,產業,"estate, (lands and houses",汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
田主,tshân-tsú,田主,landlord of land,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
田園,tshân-hn̂g,田園,farm|land property,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
田地,tshân-tī,田地,estate,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
田螺,tshân-lô,田螺,snail,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
畏,ùi,怕,fear|afraid,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|行動,2034669892,1118230472
畏凊,ùi-chhìn,怕冷,ague,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
畏少禮,ùi-siáu-lí,害羞,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
畏死,ùi-sí,怕死,coward,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
畧好,iáu-hó,好些,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
番儂,huan-nâng,野蠻人,barbarian|foreigner,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|稱呼,2034669892,1118230472
番布,huan-pòu,番布,gray shirting,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
番梘,huan-káng,(外國)肥皂,soap (foreign.),汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,起居|物件,2034669892,1118230472
番梨,huan-lâi,鳳梨,pineapple,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,植物|蔬菓,2034669892,1118230472
番爿,huan-pôiⁿ,外國,foreign country,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
番瓜,huan-kue,南瓜,pumpkin,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,植物|蔬菓,2034669892,1118230472
番葛,huan-kuah,蕃薯,potatoes sweet,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,植物|蔬菓,2034669892,1118230472
番薯,huan-tsṳ̂,蕃薯,potatoes sweet,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,植物|蔬菓,2034669892,1118230472
畫像,ūe-sièⁿ,畫像,artist,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
畫尪囝,ūe-ang-kiáⁿ,畫圖畫,artist|draw,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
當,tǹg,承押,pawn|mortgage,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
當主,tǹg-tsú,承押人,mortgagee,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,職業|經商,2034669892,1118230472
當票,tǹg-phiè,當票,ticket pawn,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
當舖,tǹg-phòu,當舖,pawnshop,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
疥,kòi,疥瘡,itch,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
痔,thĩ,痔瘡,piles,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
痞,phái,壞,,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,入門,2034669892,1118230472
痞囝,phái-kiáⁿ,痞子,,考釋,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,人|品評,2034669892,1118230472
痢疾,lĩ-chi̍t,痢疾,dysentery,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
痱,bùi,痱子,prickly heat,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
瘋痛,huang-thiàⁿ,風濕,rheumatism,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
瘟瘴,un-chiàng,瘟疫,plague,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
瘡,tshng,潰瘍,ulcers,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
瘤,liû,腫瘤,tumour,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
癩瘑寮,thái-ko-liâu,痲瘋病人聚居處,asylum,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
癬,sién,癬,ringworm,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
癲,siáu,瘋癲,mad,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
登位,teng-ūi,登位,throne to ascend the,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
登基,teng-ki,登基,throne to ascend the,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,,2034669892,1118230472
發燒,huat-sie,發燒,fever,汕頭話讀本,https://hokkien-writing.github.io/Handbook_of_the_Swatow_Vernacular/,健康,2034669892,1118230472
