en_GB,es,ja,zh_CN,zh_TW,en_US
Parma,,パルマ,帕尔马,帕馬,Parma
Parnaíba,,,巴纳伊巴,帕奈巴,Parnaíba
Parramore Beach,,パラモア ・ ビーチ,,帕拉摩比奇,Parramore Beach
Part # :,,パーツ番号,规格 # :,產品號 ：,Part # :
Partial fog,Niebla parcial,部分的に霧,部分有雾,部份方向有霧,Partial fog
Partially Running,Parcialmente en ejecución,部分的に実行中,部分运行,尚未運作,Partially Running
Particle Trace,,粒子の軌跡 ...,,,Particle Trace
Partition,Partición,パーティション,分区,分割區,Partition
Partition Label :,,パーティション ・ ラベル :,分区卷标 ：,分割區標籤 ：,Partition Label :
Partition Size,,パーティションサイズ,分区容量,分割區容量,Partition Size
Partition Type,,,分区类型,分割區類型,Partition Type
Partition Type :,,パーティション ・ タイプ :,分区类型 ：,分割區類型 ：,Partition Type :
Partition table :,,,分区表 ：,分割表 ：,Partition table :
Partitioning,,,,分割區,Partitioning
Partitioning :,,パーティション :,分区 ：,分割區 ：,Partitioning :
Partitioning Scheme,,パーティションスキーム,分区方案,分割區架構,Partitioning Scheme
Party,,パーティー,晚会,派對,Party
Partyline,,プレイした時間,,交談區,Partyline
ParáState in Brazil,,,帕拉州State in Brazil,巴拉那State in Brazil,ParáState in Brazil
"Patanjali Somayaji , Mark Rae","2001 Patanjali Somayaji , Mark Rae",,,,"Patanjali Somayaji , Mark Rae"
Path,Ruta,パス,路径,路徑,Path
Path :,Ruta :,パス名 :,路径 ：,路徑 :,Path :
Path Creation,,パスの作成,,,Path Creation
Path Name,,パス名,,,Path Name
Path Tool,,パスのツール,,,Path Tool
Path for HTML export,Ruta para exportar HTML,HTMLドキュメントを生成する場所,用于 HTML 导出的路径,匯出 HTML 到指定位置,Path for HTML export
Path to Selection,,パスを選択範囲に,,,Path to Selection
Path to file,Ruta al archivo,ファイルのパスです,文件路径,檔案的路徑,Path to file
Path to unpaper,Ruta a unpaper,,路径修整,,Path to unpaper
Pathein,,,,勃生,Pathein
Pathline Colour Picker,,ポジション色ディザリング,,,Pathline color Picker
Patna,,,巴特纳,帕特納,Patna
Patnaതിരുവനന ് തപുരം,Patna,,巴特纳തിരുവനന ് തപുരം,帕特納തിരുവനന ് തപുരം,Patnaതിരുവനന ് തപുരം
Patrick AFB,,パトリック空軍基地,,派翠克空軍基地,Patrick AFB
Pattani,,パッターニー,,北大年,Pattani
Pattern,Patrón,パターン,通配符,樣式,Pattern
Pattern :,Patrón :,パターン :,通配符 ：,樣式 :,Pattern :
Pattern Selection,,パターン選択,图案选择,圖樣選擇,Pattern Selection
Pattern fill,Relleno con patrón,パターン塗り,图案填充,填上圖樣,Pattern fill
Pattern name,,パターン名,,,Pattern name
Patuxent,,パタクセント,帕塔森,帕圖森,Patuxent
Patuxent River,,,,帕圖森河,Patuxent River
Pau,,ポー,波城,坡市,Pau
Paulatuk,,,保拉图克,,Paulatuk
Paulatuk Airport,"Paulatuk , aeropuerto",Paulatuk 空港,,,Paulatuk Airport
Pawtucket,,ポータケット,波塔基特,坡塔克特,Pawtucket
Pay by Check,Pago con cheque,,支票付款,,Pay by Check
Paya Lebar Airport,"Paya Lebar , aeropuerto",,,,Paya Lebar Airport
Payee,Beneficiario,,收款人,,Payee
Payee :,Beneficario :,,,,Payee :
Payerne,,,,佩耶恩,Payerne
Peace River,,ピース川,和平河,和平河,Peace River
Peachtree City,,Peachtree 市街,,桃樹城,Peachtree City
Peak Power,Potencia,,峰值力量,,Peak Power
Peak power,,,峰值力量,,Peak power
Peawanuck,,,,皮沃那克,Peawanuck
Peek,,,皮克,,Peek
Pehuajo,,,,佩瓦荷,Pehuajo
Pekanbaruآبادان,Pekanbaru,プカンバルーآبادان,北干آبادان,佩坎巴魯آبادان,Pekanbaruآبادان
Pekoa Airport Santo,"Pekoa , aeropuerto Santo",,,,Pekoa Airport Santo
Pella,,ペラ,佩拉,佩拉,Pella
Pello,,ペロ,,佩羅,Pello
Pelly Bay,,ペリー湾,,佩利灣,Pelly Bay
Pelly Bay Airport,"Pelly Bay , aeropuerto",ペリー湾空港,,佩利貝機場,Pelly Bay Airport
Pemba,,ペンバ,彭巴,朋巴,Pemba
Pemberton,,ペンバートン,,彭比頓,Pemberton
Pembrey,,ペンブリィ,,,Pembrey
Pen Drive,,Pen ドライブ,Pen 驱动器,隨身碟,Pen Drive
Pencil,Bolígrafo,鉛筆で描画,铅笔,,Pencil
Penn Yan,,,彭雁,朋揚,Penn Yan
Pennant Puzzle,,パズル大会,,,Pennant Puzzle
Pentagon,Penta gono,,五边形,,Pentagon
Pentax PEF raw image,,Pentax PEF raw 画像,Pentax PEF 原始图像,Pentax PEF 原生影像,Pentax PEF raw image
Penticton,,ペンチクトン,彭蒂克顿,朋堤克頓,Penticton
Penza,,ペンザ,,朋札,Penza
PenzaПермь,Penza,ペンザПермь,奔萨Пермь,朋札Пермь,PenzaПермь
People,Gente,人々,人们,人群,People
People Nearby,Gente cerca,,附近的人,,People Nearby
People at a table,,,桌边人,,People at a table
People nearby,Gente cerca,,附近的人,,People nearby
Peoria,,ペオリア,皮奥里亚,皮歐立亞,Peoria
Percent,Porcentaje,パーセンテージ,百分比,百分比,Percent
Percent Size,,,百分比大小,百分比大小,Percent Size
Percent black,,黒の割合,,,Percent black
Percent white,,白の割合,,,Percent white
Percentage,Porcentaje,百分率,百分比,百分比,Percentage
Percentage :,,,百分比 ：,,Percentage :
Percentage area plot .,,全データに対する割合の変化を面グラフでプロットします ．,百分比区域图,百分比區域圖,Percentage area plot .
Percentage charge :,,充電率 :,百分比,充電百分比 ：,Percentage charge :
Percentage of each contributor .,,それぞれのコントリビューターのパーセンテージです 。,每个贡献者的百分比,每個份額的百分比,Percentage of each contributor .
Percentage of each contributor in a half circle .,,それぞれのコントリビューターのパーセンテージです 。,在半圆中的每个贡献者的百分比,,Percentage of each contributor in a half circle .
Perceptual,Perceptible,鮮かさ重視,感官,感知,Perceptual
Pereira,,ペレイラ,佩雷拉,珀雷拉,Pereira
Perform Better,,,,重視效能,Perform Better
Perform action anyway,,とにかく実行する,无论如何均执行动作,無論如何都執行動作,Perform action anyway
Perform autoopen,Realizar apertura automática,自動的に開くかどうか,执行自动打开,使用自動開啟,Perform autoopen
Perform autorun,Realizar ejecución automática,自動起動の実行可否,执行自动运行,使用自動執行,Perform autorun
Performance,,性能,性能,,Performance
Performing Unpaper,Realizar unpaper,,图像修整处理,,Performing Unpaper
Performing calibration,,キャリブレーションを実行中,正在进行校准,正在執行校準作業,Performing calibration
Perito Moreno,,,,莫雷諾,Perito Moreno
Perm ',,,,珀姆,Perm '
Perm 'Петропавловск-Камчатский,Perm ' -,,彼尔姆Петропавловск-Камчатский,珀姆Петропавловск-Камчатский,Perm 'Петропавловск-Камчатский
Pernambuco,,ペルナンブコ,伯南布哥州,珀南布科,Pernambuco
Perpignan,Perpiñán,ペルピニャン,佩皮尼昂,珀皮南,Perpignan
Perry,,ペリー,佩里,珀利,Perry
Perry-Foley,,,佩里-福利,珀利-福立,Perry-Foley
Perryton,,,,珀利頓,Perryton
Perth,,,珀斯,伯斯,Perth
Peru,Perú,ペルー,秘鲁,秘魯,Peru
Perugia,,,佩鲁贾,珀魯加,Perugia
Peruvian Nuevo Sol,,,,秘魯新索爾,Peruvian Nuevo Sol
Petauke,,,,佩陶克,Petauke
Petawawa,,ペタワワ,佩塔瓦瓦,佩塔瓦瓦,Petawawa
Peter O Knight Airport,"Peter O Knight , aeropuerto",,,,Peter O Knight Airport
Peterborough,,ピーターバラ,彼得伯勒,彼得波羅,Peterborough
Petite-Rivière,,,小河村,小河村,Petite-Rivière
Petrolina,,ペトロリナ,彼得罗利纳,佩特羅利納,Petrolina
"PgUp , Ctrl + Tab",Ctrl,,,,"PgUp , Ctrl + Tab"
Phalaborwa,,,,法拉柏瓦,Phalaborwa
Phetchaburi,,ペッチャブリー,,碧差汶里,Phetchaburi
Philip,,フィリップ,菲利普,菲力普,Philip
Phnom Penh,,プノン ・ ペン,金边,金邊,Phnom Penh
Phoenix,,フェニックス,凤凰城,費尼克斯,Phoenix
Phoenix Sky Harbor International Airport,"Phoenix Sky Harbor , aeropuerto internacional",,,,Phoenix Sky Harbor International Airport
Phoenix-Deer Valley,,,凤凰城-鹿谷,費尼克斯-Deer Valley,Phoenix-Deer Valley
Phoenix-Deer Valley Municipal Airport,"Phoenix-Deer Valley , aeropuerto municipal",,,,Phoenix-Deer Valley Municipal Airport
Phoenix-Luke AFB,,Phoenix-Luke 空軍基地,凤凰城-卢克空军基地,費尼克斯-路克空軍基地,Phoenix-Luke AFB
Phone,Teléfono,電話番号,电话,電話,Phone
Phone Connection,Conexión telefónica,,电话连接,手機連接,Phone Connection
Phone Manager,,,电话管理器,手機管理器,Phone Manager
Phone number,,電話番号,电话号码,電話號碼,Phone number
Phone number :,,電話番号 :,,,Phone number :
Phone-in,,フォン入力,话筒输入,,Phone-in
Phone-out,,フォン出力,话筒输出,,Phone-out
Phonetic,Fonético,,,,Phonetic
Photo,Foto,写真,照片,照片,Photo
Photo 0 of 0,,,,0 張中的第 0 張相片,Photo 0 of 0
Photo CD,,,相片 CD,相片 CD,Photo CD
Photo Import,,写真の取り込み,相片导入,相片匯入,Photo Import
Photo Manager,,,照片管理器,相片管理員,Photo Manager
Photo Path,,,,相片路徑,Photo Path
Photo Viewer,,,照片查看器,相片檢視器,Photo Viewer
Photo height,,,,照片高度,Photo height
Photo information,,,照片信息,相片資訊,Photo information
Photo layout,,,照片布局,相片配置,Photo layout
Photo management for GNOME,,,GNOME 照片管理器,GNOME 的相片管理,Photo management for GNOME
Photocopy,Fotocopia,写真コピー ...,,,Photocopy
Photography,Fotografi a,写真,摄影,攝影,Photography
Photometric Interpretation,Interpretación fotométrica,,,光度解譯,Photometric Interpretation
Phrae,,プレー,帕市,非拉,Phrae
Phuket,,プーケット,普吉,普吉島,Phuket
Piacenza,,ピアツェンツァ,皮亚琴察,皮辰札,Piacenza
Piarco,,,皮亚尔科,帕斯科,Piarco
Piauí,,,皮奥伊州,皮奧伊,Piauí
Picayune,,ピキューン,,皮基雲,Picayune
Pick,,つまむ ...,,,Pick
Pick Colour,,色の取得,拾取颜色,,Pick color
Pick Only,So lo recoger,スポイト情報のみ,,,Pick Only
Pick With Alpha,Seleccionar con alfa,アルファで選択する,选取 Alpha 通道,揀取時附帶α,Pick With Alpha
Pick a Colour,,,拾取颜色,選取顏色,Pick a color
Pick a Font,Seleccione una fuente,フォントの取得,选取字体,選取字型,Pick a Font
Pick a colour,Elija un color,色の取得,选择一种颜色,挑選顏色,Pick a color
Pick a path,Mover una ruta,つかんだパスを移動,拾取路径,,Pick a path
Pick an Action,,アクションを選択,,,Pick an Action
Pick white point,,白点の設定,,,Pick white point
Pickle Lake,,パイクル湖,,皮克湖,Pickle Lake
Picture,Imagen,,图片,照片,Picture
Picture CD,,ピクチャー CD,图片 CD,照片 CD,Picture CD
Picture Filename,,画像のファイル名,图片文件名,圖案檔案名稱,Picture Filename
Picture Opacity,,画像の透明度,图片透明度,圖片透明度,Picture Opacity
Picture Quality,,画像の品質,,,Picture Quality
Picture URI,,写真,图片 URI,圖片 URI,Picture URI
Picture hue,,,,相片色相,Picture hue
Pie,Tarta,,,餅形圖,Pie
Pie plotting engine,,円グラフプロットエンジン,饼绘图引擎,餅形圖繪製引擎,Pie plotting engine
Piece Style :,,駒スタイル :,,,Piece Style :
Pierre,,ピエール,皮埃尔,皮爾,Pierre
Pietermaritzburg,,ピーターマリッツバーグ,,皮特馬利堡,Pietermaritzburg
Piešťany,Pieš any,,皮斯塔尼,皮斯塔尼,Piešťany
Pigeon Point,,ピジョン岬,,,Pigeon Point
Pigue,,,,皮圭,Pigue
Pikeville,,パイクビル,,,Pikeville
Pile,Montón,,牌垛,,Pile
Pileon,,,根冠,,Pileon
Pilot Applet,Miniaplicación Pilot,Pilot アプレット,Pilot 小程序,,Pilot Applet
Pilot Device,,,,Pilot 裝置,Pilot Device
Pilot ID,,パイロットID,,,Pilot ID
Pilot Name,,パイロットの名前,,Pilot 名稱,Pilot Name
Pilot Name :,,パイロット名 :,,Pilot 名稱 :,Pilot Name :
Pimp my GIMP,Enriquecer mi GIMP,GIMP 宇宙管理局,,,Pimp my GIMP
Pin Toolbar,,,固定工具栏,釘住工具列,Pin Toolbar
Pin the toolbar open,,,将工具栏固定为打开,開啟釘住工具列功能,Pin the toolbar open
Pinar Del Río,,ピナルデルリオ,,皮納里約,Pinar Del Río
Pinch,,ひねり,拧转,捏住,Pinch
Pinch amount,,吸い込む量,,,Pinch amount
Pincher Creek,,ピンチャー ・ クリーク,平溪,平溪,Pincher Creek
Pine Bluff,,,品不拉夫,派恩布魯夫,Pine Bluff
Pine River,,,松河,派恩里佛,Pine River
Pineville,,,,派恩維,Pineville
Piney Creek,,ピニー ・ クリーク,,平內克里克,Piney Creek
Ping Pong,,双方向,乒乓,,Ping Pong
Ping pong,Ping-Pong,双方向,,,Ping pong
Pingpong :,,双方向,,,Pingpong :
Pingtung North,,,,屏東北,Pingtung North
Pingtung South,,,,屏東南,Pingtung South
Pink,,ピンク,粉红,粉紅色,Pink
Pink Fabric,,ピンクの布,粉色面料,粉紅織布,Pink Fabric
Pioneer,Pionero,,不合群的人,,Pioneer
Pipe to Program :,Encauzar al programa :,,管道到程序 ：,,Pipe to Program :
Piraçununga,Piracununga,,皮拉苏农加,皮拉蘇伊加,Piraçununga
Pitcairn,,ピトケアン島,皮特凯恩,匹特開恩,Pitcairn
Pitt-Greenville,,,,匹特-格林維,Pitt-Greenville
Piura,,ピウラ,,皮烏拉,Piura
Pivot,Pivotar,,,,Pivot
Pivot Point,,回転の中心,旋转中心,樞軸點,Pivot Point
Pivot Point Z,,Z軸の回転の中心,旋转中心 Z,樞軸點 Z,Pivot Point Z
Pixbuf,,,像素缓冲,,Pixbuf
Pixbuf Icon,Icono Pixbuf,,,Pixbuf 圖示,Pixbuf Icon
Pixbuf Object,Objeto Pixbuf,Pixbuf オブジェクト,像素缓冲对象,Pixbuf 物件,Pixbuf Object
Pixbuf column,,Pixbuf の列,像素缓冲列,Pixbuf 欄,Pixbuf column
Pixel,Pi xel,ピクセル値,像素,像素,Pixel
Pixel Format,,ピクセルフォーマット,像素格式,像素格式,Pixel Format
Pixel Selection :,,選択領域反転,反转,圖層合併模式 ：,Pixel Selection :
Pixel Size,,ピクセルサイズ,像素大小,像素大小,Pixel Size
Pixel amount,,ピクセル量,,,Pixel amount
Pixel height,,ピクセル高,,,Pixel height
Pixelate,Pixelar,,像素化,像素化,Pixelate
Pixelize,Pixelar,ピクセル化,,,Pixelize
Pixmap,,,位图,像素圖,Pixmap
Pixmap Depth,,Pixmap の深さ,位图色深,像素圖深度,Pixmap Depth
Pixmap Directory,,Pixmap フォルダ,像素图目录,Pixmap 目錄,Pixmap Directory
Pixmap height,,Pixmap の高さ,位图高度,像素圖高度,Pixmap height
PkiPath certification path,,PkiPath 証明書パス,PkiPath 证书目录,PkiPath 憑證路徑,PkiPath certification path
Place,Lugar,場所,地方,位置,Place
Place a new call,,発信します,,,Place a new call
Place of Birth,,出生地,出生地,出生地,Place of Birth
Place your text here,,,在此放置您的文字,,Place your text here
Placement,,配置,,,Placement
Placement tab,,配置タブ,,,Placement tab
Placer,,,普莱瑟,普拉瑟,Placer
Plain,Plano,簡易型,简洁,純文字,Plain
Plain Source,Fuente plana,通常のソース,纯源代码,純文字來源,Plain Source
Plain Text,Texto plano,通常のテキスト編集モードにします,纯文本,純文字,Plain Text
Plainview,,,普莱恩维尤,普蘭幽,Plainview
Plait,Trenza,,辫子,,Plait
Plan,Planificación,プラン,计划,計劃,Plan
Planar Configuration,Configuración planar,,重新装入配置,平面設定,Planar Configuration
Planet GNOME,Planeta GNOME,,,,Planet GNOME
Planner Project Management,,プロジェクトを管理します,Planner 项目管理,Planner 專案管理,Planner Project Management
Planner project plan,Planner,Planner プロジェクト計画,Planner 项目管理,Planner 專案管理計劃,Planner project plan
Plano,,,普莱诺,普拉諾,Plano
Platform,,,平台,,Platform
Platform Cleanup,,プラットホーム ・ クリーンナップ,平台清理,平台的清理,Platform Cleanup
Platform Overview,,,平台预览,平臺概覽,Platform Overview
Platinum,,プラチナ,白金,,Platinum
Play,,テスト,播放,播放,Play
Play After,,後に再生,之后播放,在這之後播放,Play After
Play Album,,アルバムを再生,播放专辑,播放專輯,Play Album
Play CD,,CD の演奏中,播放 CD,播放光碟,Play CD
Play Count,,再生数,播放计数,播放次數,Play Count
Play Count :,,再生数 :,播放次数 ：,播放次數 ：,Play Count :
Play Queue,,再生キュー,播放队列,播放佇列,Play Queue
Play Song,,曲を再生,播放曲目,播放歌曲,Play Song
Play ring tone,,着信音を演奏する,,,Play ring tone
Play the current item,,現在のアイテムを再生,播放当前项目,播放目前的項目,Play the current item
Play the next item,,次のアイテムを再生します,播放下一首,播放下一個項目,Play the next item
Play the next track,,次のトラックを演奏します,播放下条音轨,播放下一首曲目,Play the next track
PlayDepth :,,,显示色深 ：,顯示色深 ：,PlayDepth :
Playback,,再生 ...,回放,播放,Playback
Playback Control,,再生操作,,,Playback Control
Playback Error,,再生エラー,播放错误,播放發生錯誤,Playback Error
Player 1,,プレイヤー 1,玩家 1,玩家 1,Player 1
Player 2,,プレイヤー 2,玩家 2,玩家 2,Player 2
Player information,,プレイヤの情報,玩家信息,玩者資訊,Player information
Player volume,,プレイヤーの音量,播放器音量,播放器音量,Player volume
Playing,,再生中,正在播放,正在播放,Playing
Playing Five or More,,,进行游戏,,Playing Five or More
Playing Four-in-a-Row,Jugar a Cuatro en raya,,玩四子连线小游戏,,Playing Four-in-a-Row
Playing GNOME Tali,Jugar a Tali,,玩 GNOME 掷骰子小游戏,,Playing GNOME Tali
Playing GNOME Tetravex,Jugar a Tetravex,,赢得 GNOME 四邻,,Playing GNOME Tetravex
Playing Iagno,Jugar a Iagno,,玩黑白棋游戏,,Playing Iagno
Playing Mahjongg,Jugar a Mahjongg,,玩麻将小游戏,,Playing Mahjongg
Playing Same GNOME,Same GNOME,,开始 消色块 小游戏,,Playing Same GNOME
Playing a Game,,,玩游戏,,Playing a Game
Playing a movie,,動画を再生する,播放电影,播放影片,Playing a movie
Playing the Game,,,游戏中,,Playing the Game
Playing the game,Jugar al juego,,解决游戏,,Playing the game
Pleiku City,,プレイク市,,百里居城,Pleiku City
Plettenberg Bay,,プレッテンベルク湾,,普利登堡灣,Plettenberg Bay
Plot,Dibujo,プロット,,繪製,Plot
Plot Engine,,プロットエンジン,绘图引擎,繪製引擎,Plot Engine
Plot Type,,プロットの種類,绘图类型,繪製類型,Plot Type
Plot area,,プロットエリア,绘图区,繪製區域,Plot area
Plot group,,プロットグループ,绘图组,圖表群組,Plot group
PlotArea,DibujoÁrea,,绘图区,圖表區,PlotArea
PlotBarCol,DibujoBarCol,,绘图条色 PlotBarCol,,PlotBarCol
PlotBubble,GráficoBurbuja,,绘图泡,泡泡圖,PlotBubble
PlotColourPolar,DibujarColorPolar,,标绘着色极点,彩色極座標圖,PlotColourPolar
PlotContour,Contorno,,,圖表輪廓,PlotContour
PlotDropBar,,,绘点条,短棒圖,PlotDropBar
PlotLine,DibujoLínea,,绘图线,線段圖,PlotLine
PlotMinMax,DibujoMinMax,,绘图最值,,PlotMinMax
PlotPie,GráficoTarta,,绘图饼,餅形圖,PlotPie
PlotPolar,DibujarPolar,,点极线,極座標圖,PlotPolar
PlotRing,GráficoAnillo,,绘图环,環形圖,PlotRing
PlotSurface,Superficie,等高線,标绘图表层,圖表曲面,PlotSurface
PlotXY,GráficoXY,,绘图点坐标,XY圖,PlotXY
PlotXYDropBar,,,标绘XY垂条,XY短棒圖,PlotXYDropBar
PlotXYMinMax,DibujarXYZMatriz,,标绘图XYZ矩阵,,PlotXYMinMax
PlotXYZContour,DibujarContornoXYZ,,标绘图XYZ等高线,圖表XYZ輪廓,PlotXYZContour
PlotXYZSurface,DibujarSuperficieXYZ,等高線,标绘图XYZ表层,圖表XYZ曲面,PlotXYZSurface
Plug-In,Complemento,プラグイン,插件,,Plug-In
Plug-in,,プラグイン,插件,,Plug-in
Plug-in Development,,プラグイン開発,插件的开发,,Plug-in Development
Plugin,Complemento,プラグイン,插件,外掛程式,Plugin
Plugin Error,,プラグインのエラー,插件错误,外掛程式錯誤,Plugin Error
Plugin Layout,,,插件布局,,Plugin Layout
Plugin Manager,,プラグインマネージャー,插件管理器,外掛程式管理員,Plugin Manager
Plugin Manager View,,プラグインマネージャービュー,插件管理器视图,外掛程式管理員檢視,Plugin Manager View
Plugin Name,,プラグイン名,,外掛程式名稱,Plugin Name
Plugin Path,,プラグインパス,插件路径,外掛程式路徑,Plugin Path
Plugin View Management,,,插件视图管理,,Plugin View Management
Plugin manager,,プラグインマネージャー,,,Plugin manager
Plymouth,,プリマス,普利茅斯,普利茅斯,Plymouth
Po,,ポー,,,Po
Pocatello,,,波卡特罗,波卡特羅,Pocatello
Poetry,,,诗集,詩集,Poetry
Poggiale,,,,諾加里,Poggiale
Pohang Ab,,,,浦項空軍基地,Pohang Ab
Pohick,,,,朋提亞克,Pohick
"Pohnpei , NWS Office",,ポナペ 、 国際気象サービス ・ オフィス,,波納佩 ， 國家氣象服務辦公室,"Pohnpei , NWS Office"
Point,Punto,点光源,,位置,Point
Point :,,端点追加,,最後一點,Point :
Point Arena,,ポイント ・ エリア,,波恩亞雷納,Point Arena
Point Hope,,,波因特霍普,希望岬,Point Hope
Point Lay,,,雷点,雷岬,Point Lay
Point Lepreau,,,,萊普羅角,Point Lepreau
Point Mugu,,,,木古角,Point Mugu
Point Vincente,,,,文森特角,Point Vincente
Point-to-point connection,Conexión punto a punto,PPP 接続,点到点连接,點對點連線,Point-to-point connection
Pointe Noire,,ポアントノアール,,,Pointe Noire
Pointe Sable,,,沙点,派恩達,Pointe Sable
Pointe-Noire,,ポアント-ノアール,黑角,黑角,Pointe-Noire
Pointer,Puntero,ピクセル情報,,,Pointer
Pointer Capture,,ポインタの捕獲,锁定指针,鎖定指標,Pointer Capture
Pointer Capture Applet,,ポインタの捕獲アプレット,指针锁定小程序,指標捕捉面板程式,Pointer Capture Applet
Pointer Dialog,,ピクセル情報ダイアログ,,,Pointer Dialog
Pointer Information,,さらなる情報,,,Pointer Information
Pointing to,,,指向,指向,Pointing to
Poker,Póker,,纸牌戏,,Poker
Pokhara,,ポカラ,,波哈拉,Pokhara
Polar,,極座標,极线,極座標圖,Polar
Polar plot .,Dibujo polar .,極座標系でプロットします ．,极线图,極座標圖,Polar plot .
Polar plotting engine,,極座標グラフプロットエンジン,极线绘图引擎,極座標繪製引擎,Polar plotting engine
Pole,Polo,,,,Pole
PolicyKit Authentication Agent,,PolicyKit の認証エージェント,认证对话框,PolicyKit 驗證代理程式,PolicyKit Authentication Agent
PolicyKit Integration,,PolicyKit との統合,PolicyKit 集成,整合 PolicyKit,PolicyKit Integration
Polyarny,,ポリヤルヌイ,,波累尼,Polyarny
Polygon Select,Seleccio n poligonal,多角形選択,,,Polygon Select
Polygonal,Poligonal,多角形,,,Polygonal
Polygonal Selection,Seleccio n poligonal,多角形選択,选择多边形区域,,Polygonal Selection
Polymorphic Variant,Variante polimórfica,多相バリアント,多态变种,多型變數,Polymorphic Variant
Polynomial,Polinómico,,多项式,多線段式,Polynomial
Pomona,,,波莫纳,波摩納,Pomona
Pompano Beach,,,庞帕诺比奇,,Pompano Beach
Ponca City,,,彭加城,朋卡市,Ponca City
Ponce,,,庞塞,朋榭,Ponce
Ponce De Leon Inlet,Ponce De León,,,,Ponce De Leon Inlet
Ponta Porã,,ポンタポラン,蓬塔波朗,,Ponta Porã
Pontecagnano,,,庞特卡格纳诺,,Pontecagnano
Pontiac,,ポンティアック,庞蒂亚克,朋提亞克,Pontiac
Ponza,,ポンツァ,,朋札島,Ponza
Pool,Conjunto,プール,,,Pool
Poor,Malo,わずか,不好,,Poor
Pop,,ポップ,流行,流行,Pop
Popayán,,ポパヤン,波帕扬,波帕揚,Popayán
Poplar Bluff,,,波普拉布拉夫,波普拉布拉夫,Poplar Bluff
Poppy,,ケシ,,,Poppy
Popt Context,Contexto popt,popt のコンテキスト,Popt 上下文,,Popt Context
Popt Table,Tabla popt,popt のテーブル,Popt 表,Popt 選項清單,Popt Table
Popular,,人気の高いもの,流行,熱門的,Popular
Populate all,,,填入所有,全部填寫,Populate all
Popup,Emergente,,弹出,,Popup
Popup Menu,Menú emergente,,弹出式菜单,,Popup Menu
Popup completion,,ポップアップによる補完,弹出补全,彈出項目自動補齊,Popup completion
PopupMenu,Menú emergente,ポップアップ ・ メニュー,弹出菜单,彈出式選單,PopupMenu
Pori,,ポリ,波里,波里,Pori
Port,Puerto,ポート,端口,連接埠,Port
Port :,Puerto :,ポート :,端口 ：,連接埠 :,Port :
Port = 177,Port=177,,,,Port = 177
Port Alberni,,ポート ・ アルバーニ,,亞伯尼港,Port Alberni
Port Blair,,ポート ・ ブライア,,布雷港,Port Blair
Port Chicago,,ポート ・ シカゴ,,芝加哥港,Port Chicago
Port Clarence,,ポート ・ クラレンス,,,Port Clarence
Port Colborne,,ポート ・ カルバン,,科爾本港,Port Colborne
Port Elizabeth,,ポート ・ エリザベス,伊丽莎白港,伊利薩白港,Port Elizabeth
Port Harcourt,,ポート ・ ハーコート,,哈刻特港,Port Harcourt
Port Hope,,ポート ・ ホープ,希望港,希望港,Port Hope
Port Lavaca,,,拉瓦卡港,拉瓦卡港,Port Lavaca
Port Mathurin,,,马图林港,馬特琳港,Port Mathurin
Port Menier,,ポート ・ ムニエ,,,Port Menier
Port Scan,,,端口扫描,掃描連接埠,Port Scan
Port Weller,,ポート ・ ウェラー,威勒港,威勒港,Port Weller
Port-Au-Prince,,,太子港,太子港,Port-Au-Prince
Port-Gentil,,,让蒂尔港,讓第爾港,Port-Gentil
Port-Menier,,,梅尼耶港,梅尼埃港,Port-Menier
Port-au-Prince,Puerto Príncipe,ポルトープランス,太子港,馬特琳港,Port-au-Prince
Port-of-Spain,,ポートオブスペイン,西班牙港,西班牙港,Port-of-Spain
Portage Glacier,,,,波塔齊山谷冰河,Portage Glacier
Portage Southport,,,,波提吉南港,Portage Southport
Portela,,ポートルイス,莱伊什港,波爾特拉,Portela
Porter Lake,,ポーター湖,,,Porter Lake
Porterville,,,波特维尔,,Porterville
Portico,Pórtico,,柱廊,,Portico
Portneuf,,,波特纳夫,波特尼夫,Portneuf
Porto,Oporto,,波尔图,羅雷托,Porto
Porto Alegre,Puerto Alegre,,阿雷格里港,阿雷格港,Porto Alegre
Porto Alegre Airport,"Porto Alegre , aeropuerto",ポルトアレグレ空港,,阿雷格港機場,Porto Alegre Airport
Porto Nacional,,ポルトナシオナル,,納欣納港,Porto Nacional
Porto Santo,Puerto Santo,,,聖港,Porto Santo
Porto SantoSanta Cruz,Puerto SantoSanta Cruz,,圣港Santa Cruz,聖港Santa Cruz,Porto SantoSanta Cruz
Porto Seguro,,ポルトセグロ,,瑟固羅港,Porto Seguro
Portorož,,,波多若斯,波爾托羅日,Portorož
Portrait,Vertical,コントラスト,对比度,對比,Portrait
Portugal,,ポルトガル,葡萄牙,葡萄牙,Portugal
Potato,Patata,,土豆,,Potato
Poteau,,,波提奥,波提奧,Poteau
Potenza,,ポテンツァ,,波田薩,Potenza
Povungnituq,,,,波文格尼土克,Povungnituq
Powell River,,パウエル川,鲍威尔河,波威河,Powell River
Power,Conexión,電源,电源,電源,Power
Power Critical,Energía críticamente baja,,电量严重不足,,Power Critical
Power Critically Low,,,,電量極低,Power Critically Low
Power Cycle Count,,,电源开关计数,電源循環次數,Power Cycle Count
Power Information,,電源の情報,电源信息,電源資訊,Power Information
Power Low,Energía baja,,电量低,電量低,Power Low
